
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.6","0.0","0.0","0.0","0.0","2.5","0.0","0.9","0.0","0.1","4.1","0.1"
"02","9.7","3.6","18.3","0.0","0.0","1.8","0.0","0.9","0.0","0.0","3.4","1.0"
"03","5.8","0.0","7.1","0.9","2.3","0.0","0.0","6.0","0.0","0.0","4.2","0.0"
"04","23.9","0.2","3.7","9.8","0.4","8.5","0.0","1.2","0.0","0.4","1.3","0.3"
"05","23.2","0.0","2.5","0.0","9.0","20.8","0.4","4.4","0.0","1.2","0.0","13.1"
"06","20.9","0.0","9.1","0.0","0.1","15.5","1.9","12.5","0.0","2.6","0.6","10.4"
"07","24.0","0.0","24.0","0.0","0.0","0.4","0.0","20.1","0.0","0.6","0.0","0.3"
"08","16.7","10.1","20.7","9.7","0.1","0.0","0.0","0.0","0.0","0.2","11.9","0.8"
"09","0.1","17.1","10.5","15.2","0.0","0.0","0.0","2.9","0.8","1.8","0.1","2.7"
"10","2.5","9.6","14.0","18.5","0.0","0.1","0.0","1.4","0.4","0.8","1.4","3.3"
"11","22.3","18.7","0.5","0.1","0.0","0.0","0.0","0.1","6.4","9.0","0.0","3.4"
"12","3.5","5.3","5.0","0.0","0.0","0.0","0.0","1.6","17.6","11.7","6.0","16.8"
"13","0.0","3.0","0.0","8.0","0.0","0.2","0.0","0.2","0.0","7.5","18.4","21.0"
"14","0.0","0.0","0.1","23.6","0.0","0.0","0.0","0.0","0.0","7.3","2.4","2.8"
"15","0.0","0.0","0.0","19.7","0.0","0.0","0.0","1.0","1.0","0.3","0.0","0.0"
"16","6.2","1.1","0.0","4.3","0.0","0.0","0.0","0.0","0.1","3.0","0.5","0.0"
"17","7.3","9.0","3.6","3.5","0.0","0.0","0.0","0.0","0.1","4.3","0.9","9.8"
"18","0.2","0.0","5.7","0.0","0.8","0.0","0.0","0.9","0.0","3.4","13.0","5.9"
"19","0.0","0.0","0.0","0.2","0.4","0.0","0.2","2.0","0.0","2.5","5.3","0.0"
"20","0.0","0.0","2.0","0.0","0.0","0.0","0.4","0.0","0.0","7.1","3.1","1.3"
"21","0.0","0.0","20.3","7.4","1.5","0.0","2.1","0.0","0.0","14.3","0.1","16.5"
"22","7.3","0.0","14.9","4.5","0.1","11.0","3.1","0.0","0.0","22.8","17.5","21.1"
"23","4.2","4.1","0.0","4.1","0.0","15.8","2.8","0.0","0.0","17.9","15.9","11.8"
"24","2.0","1.3","7.8","1.3","9.0","5.9","9.9","0.0","5.6","21.6","0.6","7.3"
"25","0.0","0.0","1.3","2.0","2.7","1.1","0.9","0.7","0.0","18.2","14.2","15.8"
"26","3.4","7.2","0.0","1.3","0.0","0.0","1.6","0.0","0.3","3.9","21.9","23.3"
"27","11.8","17.6","0.0","1.3","0.0","0.2","0.0","0.0","0.1","1.5","18.1","21.3"
"28","6.3","0.3","0.0","15.0","0.3","0.0","0.0","0.0","0.0","0.1","5.1","6.8"
"29","0.1","--","0.0","11.3","8.0","0.2","1.1","0.0","0.0","4.2","0.5","2.4"
"30","0.0","--","1.3","0.0","10.2","0.0","0.7","0.1","0.0","5.8","5.9","0.8"
"31","0.0","--","2.1","--","16.5","--","10.1","0.0","--","7.1","--","5.4"
"總和","202.0","108.2","174.5","161.7","61.4","84.0","35.2","56.9","32.4","181.2","176.4","225.5"
