
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","3.1 / 50","2.0 / 210","1.9 / 200","1.8 / 30","2.6 / 210","2.0 / 220","2.8 / 210","1.8 / 20","2.2 / 130","2.0 / 40","3.1 / 20","6.6 / 20"
"02","3.5 / 20","3.9 / 20","5.2 / 10","1.5 / 20","2.3 / 40","2.0 / 180","2.8 / 360","2.1 / 220","2.6 / 200","2.7 / 20","3.0 / 20","3.6 / 10"
"03","1.9 / 20","2.6 / 50","1.7 / 60","1.9 / 20","2.3 / 100","2.2 / 20","2.1 / 30","2.2 / 220","2.6 / 220","2.7 / 80","1.5 / 50","2.9 / 190"
"04","3.8 / 360","2.3 / 50","2.4 / 220","4.5 / 20","2.4 / 360","2.0 / 220","2.6 / 360","2.0 / 50","2.5 / 190","3.4 / 60","1.5 / 60","3.9 / 50"
"05","5.6 / 360","2.1 / 60","1.3 / 50","4.3 / 20","3.3 / 30","2.6 / 10","4.1 / 140","1.3 / 210","2.4 / 110","2.9 / 60","1.9 / 190","2.1 / 60"
"06","5.4 / 20","1.7 / 40","2.0 / 220","3.5 / 20","1.8 / 40","1.8 / 40","3.4 / 120","1.5 / 360","2.9 / 140","2.5 / 60","2.5 / 360","2.5 / 20"
"07","6.8 / 20","2.5 / 60","3.1 / 350","4.1 / 30","2.3 / 210","1.7 / 40","2.1 / 30","2.4 / 220","2.9 / 20","2.9 / 110","1.9 / 20","6.0 / 20"
"08","6.5 / 360","4.9 / 40","2.4 / 20","4.0 / 360","2.4 / 40","2.2 / 210","2.4 / 40","2.8 / 210","2.3 / 100","2.9 / 120","5.2 / 360","3.6 / 50"
"09","5.4 / 360","4.1 / 60","1.9 / 20","5.1 / 360","1.9 / 40","2.0 / 20","2.6 / 30","1.5 / 30","2.3 / 80","3.0 / 60","4.6 / 10","2.1 / 60"
"10","3.5 / 60","3.1 / 60","3.2 / 50","2.6 / 360","2.3 / 20","2.4 / 200","2.0 / 50","1.6 / 200","2.3 / 100","3.0 / 60","2.0 / 220","3.7 / 60"
"11","4.1 / 360","2.8 / 40","1.8 / 30","1.8 / 360","2.0 / 40","2.7 / 10","1.9 / 20","2.1 / 180","3.5 / 50","6.5 / 40","2.6 / 40","2.4 / 50"
"12","2.5 / 340","4.5 / 20","2.5 / 40","1.8 / 30","2.1 / 30","2.9 / 360","2.2 / 30","2.4 / 200","5.1 / 320","5.5 / 60","1.5 / 130","4.4 / 20"
"13","1.9 / 220","2.9 / 20","3.2 / 30","2.8 / 20","2.2 / 20","2.5 / 210","2.1 / 30","2.5 / 220","3.4 / 210","2.7 / 110","3.1 / 10","4.6 / 50"
"14","1.7 / 230","2.2 / 200","2.2 / 50","4.0 / 360","1.9 / 40","3.0 / 220","2.6 / 120","2.0 / 180","2.7 / 40","2.0 / 70","3.7 / 360","1.8 / 50"
"15","2.0 / 190","2.7 / 50","2.1 / 40","2.4 / 10","2.1 / 40","4.0 / 200","2.9 / 120","1.5 / 180","2.5 / 200","2.4 / 120","2.2 / 50","2.2 / 210"
"16","4.7 / 30","1.9 / 170","1.7 / 40","1.9 / 360","2.0 / 20","6.0 / 210","2.3 / 90","2.2 / 360","1.9 / 40","4.4 / 10","1.7 / 80","2.5 / 220"
"17","6.4 / 20","5.3 / 360","1.6 / 40","2.8 / 360","2.2 / 40","4.9 / 210","2.9 / 40","2.2 / 20","2.3 / 50","7.9 / 360","1.5 / 360","7.7 / 360"
"18","4.2 / 50","4.9 / 30","1.1 / 40","4.7 / 50","1.9 / 20","5.1 / 210","2.9 / 40","2.0 / 200","3.1 / 20","2.4 / 60","2.3 / 320","5.9 / 20"
"19","2.9 / 60","2.8 / 60","1.8 / 30","3.3 / 50","2.2 / 200","4.3 / 220","3.0 / 30","2.2 / 200","2.1 / 200","2.3 / 30","3.4 / 20","4.4 / 50"
"20","2.8 / 130","2.5 / 200","2.0 / 40","2.9 / 60","1.9 / 200","2.6 / 190","3.4 / 30","2.3 / 200","2.4 / 220","2.2 / 30","3.3 / 20","1.8 / 60"
"21","1.7 / 160","2.2 / 200","6.3 / 360","3.0 / 50","2.1 / 190","2.6 / 230","5.2 / 360","2.5 / 200","2.7 / 200","4.3 / 360","1.6 / 10","2.6 / 220"
"22","2.2 / 50","1.9 / 210","4.4 / 10","2.3 / 70","2.5 / 10","2.8 / 220","5.4 / 360","2.2 / 20","2.1 / 40","5.7 / 360","7.1 / 360","4.3 / 360"
"23","2.5 / 330","3.0 / 50","2.7 / 50","3.0 / 340","1.9 / 30","1.9 / 20","5.5 / 360","2.0 / 30","2.0 / 180","3.3 / 40","4.3 / 30","1.1 / 160"
"24","3.4 / 30","2.6 / 100","2.6 / 220","3.0 / 360","2.6 / 50","2.2 / 360","5.3 / 320","2.1 / 20","2.5 / 40","3.9 / 360","3.1 / 50","3.2 / 360"
