
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","T","0.0","0.0","0.0","0.0","7.0","0.0","0.5","0.0","T","1.5","T"
"02","8.0","T","42.5","0.0","0.0","2.0","0.0","4.5","0.0","0.0","T","T"
"03","4.5","0.0","2.0","T","T","0.0","0.0","43.0","0.0","0.0","2.0","0.0"
"04","108.0","T","0.5","10.0","T","76.0","0.0","T","0.0","T","T","T"
"05","54.5","0.0","1.0","0.0","21.0","58.0","T","1.0","0.0","3.5","0.0","13.5"
"06","22.5","0.0","37.5","0.0","T","25.5","0.5","7.5","0.0","8.5","T","52.0"
"07","54.5","0.0","56.0","0.0","0.0","T","0.0","63.0","0.0","2.0","0.0","T"
"08","17.5","2.5","27.0","25.0","T","0.0","0.0","0.0","0.0","T","41.0","T"
"09","T","10.0","5.5","7.0","0.0","0.0","0.0","21.5","0.5","2.0","T","1.5"
"10","0.5","7.0","6.5","28.5","0.0","T","0.0","0.5","T","1.0","T","4.5"
"11","31.5","29.5","T","T","0.0","0.0","0.0","T","4.5","85.0","0.0","21.0"
"12","1.0","14.5","T","0.0","0.0","0.0","0.0","45.5","72.5","78.5","4.0","53.0"
"13","0.0","7.0","0.0","4.5","0.0","T","0.0","T","0.5","2.5","49.0","20.5"
"14","0.0","0.0","T","39.5","0.0","0.0","0.0","0.0","0.0","4.0","1.5","1.5"
"15","0.0","0.0","0.0","12.0","0.0","0.0","0.0","4.5","3.5","T","0.0","0.0"
"16","5.0","1.0","0.0","1.5","0.0","0.0","0.0","0.0","T","3.5","T","0.0"
"17","3.0","20.5","T","1.0","0.0","0.0","0.0","0.0","T","3.0","T","3.0"
"18","T","0.0","0.5","0.0","9.0","0.0","0.0","T","0.0","2.5","16.5","T"
"19","0.0","0.0","0.0","T","0.5","0.0","T","11.0","0.0","1.0","6.5","0.0"
"20","0.0","0.0","1.0","0.0","0.0","0.0","T","0.0","0.0","4.0","1.5","T"
"21","0.0","0.0","28.0","1.5","7.5","0.0","18.5","0.0","0.0","48.5","T","27.0"
"22","5.5","0.0","12.0","1.0","T","73.5","22.0","0.0","0.0","62.0","26.5","31.5"
"23","4.5","7.5","0.0","2.5","0.0","53.0","26.5","0.0","0.0","34.0","6.5","5.5"
"24","T","1.5","17.5","0.5","55.5","9.5","77.0","0.0","32.5","87.5","T","1.0"
"25","0.0","0.0","1.0","0.5","0.5","0.5","T","0.5","0.0","47.5","32.0","34.0"
"26","4.0","2.5","0.0","1.0","0.0","0.0","2.0","0.0","T","0.5","84.5","32.0"
"27","3.5","24.0","0.0","0.5","0.0","T","0.0","0.0","T","T","32.0","16.0"
"28","14.0","T","0.0","11.5","T","0.0","0.0","0.0","0.0","T","2.0","4.5"
"29","T","--","0.0","37.5","6.5","T","T","0.0","0.0","4.5","T","1.0"
"30","0.0","--","0.5","0.0","62.0","0.0","T","T","0.0","3.5","2.0","0.5"
"31","0.0","--","3.0","--","61.5","--","32.5","0.0","--","3.5","--","4.5"
"總和","342.0","127.5","242.0","185.5","224.0","305.0","179.0","203.0","114.0","492.5","309.0","328.0"
