
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","10.0","4.3","17.0","30.0","9.3","12.8","16.5","14.3","16.5","15.0","10.5","19.5"
"02","18.0","3.5","17.3","13.5","11.5","17.5","30.0","15.8","17.5","22.0","4.5","23.8"
"03","15.8","5.3","4.0","14.5","10.0","12.3","20.8","12.3","30.0","22.5","7.3","8.5"
"04","14.3","10.5","5.3","12.8","27.5","27.5","31.3","16.3","20.0","6.8","17.5","18.5"
"05","6.0","17.5","7.3","13.0","22.5","21.3","16.8","15.8","10.5","17.5","12.8","12.0"
"06","3.1","13.5","10.0","8.3","14.3","14.0","20.5","18.3","16.0","14.8","15.8","9.8"
"07","8.3","9.5","16.0","11.0","12.5","23.8","19.0","33.8","9.5","11.5","23.8","5.5"
"08","6.9","14.5","5.3","30.0","18.0","25.0","26.3","23.8","15.0","10.5","6.0","5.0"
"09","10.3","14.8","8.5","30.0","16.3","17.5","30.0","13.5","10.3","9.8","9.3","5.3"
"10","22.5","3.9","30.0","28.8","17.5","13.0","12.5","10.8","12.3","11.5","8.8","3.1"
"11","18.0","10.0","30.0","13.0","17.5","10.5","10.8","8.5","22.0","6.5","20.0","4.1"
"12","15.5","12.0","28.8","17.5","11.5","11.5","27.5","9.5","22.0","8.3","7.3","7.3"
"13","23.0","13.3","22.5","12.3","9.5","11.8","30.0","17.0","30.0","9.3","14.0","8.5"
"14","23.8","13.8","13.5","8.0","9.3","16.5","28.8","11.0","18.8","4.0","15.8","4.3"
"15","18.0","20.0","12.3","8.8","8.5","8.5","30.0","17.5","12.8","12.8","20.0","9.3"
"16","17.5","6.6","10.0","15.3","11.8","11.0","21.3","22.5","18.3","11.8","14.3","12.8"
"17","12.8","8.8","12.5","19.3","10.5","20.5","28.8","18.8","30.0","5.8","9.3","16.0"
"18","3.5","12.8","14.3","23.8","8.5","18.3","28.8","16.3","22.0","16.8","18.8","25.0"
"19","5.0","12.8","11.5","18.5","9.3","28.8","25.0","21.3","30.0","7.0","14.8","26.3"
"20","3.8","5.3","6.5","16.8","14.8","32.5","27.5","28.8","24.5","14.0","15.8","28.8"
"21","7.0","5.0","26.3","22.5","20.0","20.0","14.0","14.0","8.0","27.5","13.0","9.5"
"22","13.0","4.5","26.3","13.0","11.8","14.8","25.0","20.0","11.8","14.3","9.5","10.3"
"23","12.5","11.3","28.8","28.8","13.3","16.0","14.0","14.5","18.5","12.8","11.5","4.5"
"24","10.5","9.8","28.8","6.4","21.3","13.0","11.5","21.3","17.0","13.3","13.3","4.5"
"25","11.0","3.3","31.3","14.5","11.3","10.3","13.8","19.0","16.3","12.3","19.0","8.3"
"26","3.5","16.5","23.8","25.0","15.0","21.3","12.5","21.5","13.8","8.3","17.3","8.8"
"27","12.8","21.0","10.8","13.0","16.5","25.8","16.3","20.0","11.0","14.8","16.0","7.3"
"28","8.5","10.9","25.0","20.0","14.0","26.3","15.0","32.5","10.8","22.0","11.5","9.5"
"29","5.0","--","30.0","8.5","12.0","18.0","17.5","23.8","15.5","30.0","15.3","14.0"
"30","7.3","--","23.8","8.5","11.5","16.3","15.0","16.5","16.3","20.0","15.8","10.5"
"31","4.3","--","20.3","--","19.8","--","17.5","26.3","--","9.0","--","3.5"
"平均","11.3","10.5","18.0","16.8","14.1","17.9","21.1","18.6","17.6","13.6","13.6","11.1"
