
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","10.3","11.3","14.5","9.8","5.5","22.5","18.0","22.0","15.0","30.0","7.4","3.6"
"02","15.0","2.6","5.3","4.0","11.0","17.0","12.0","10.8","6.0","30.0","5.4","4.0"
"03","13.8","4.5","10.0","15.8","6.8","21.8","23.8","30.0","15.0","30.0","1.8","5.0"
"04","6.0","4.1","13.0","18.5","9.8","18.8","17.0","25.0","10.2","22.2","3.3","6.0"
"05","11.5","9.8","11.5","22.5","4.6","22.5","25.0","24.0","21.6","11.4","11.6","4.0"
"06","10.3","11.0","11.3","15.0","14.8","16.3","30.0","30.0","13.0","8.2","9.2","9.2"
"07","13.0","17.5","4.0","12.5","25.0","6.5","20.0","30.0","15.0","10.0","9.6","10.0"
"08","12.0","17.0","28.8","15.3","12.3","6.3","28.8","28.0","30.0","10.0","11.2","8.4"
"09","15.0","7.5","26.3","30.0","13.5","14.5","30.0","30.0","12.2","5.8","17.0","5.0"
"10","14.0","6.3","14.0","28.8","17.5","20.0","25.0","30.0","25.6","8.6","11.8","10.4"
"11","5.3","17.0","13.5","13.5","7.0","13.5","27.5","19.8","9.4","14.0","15.2","3.4"
"12","11.5","10.5","23.8","16.3","12.8","10.5","19.5","19.6","14.0","9.4","11.4","7.4"
"13","11.0","8.3","11.3","13.0","19.0","13.5","23.3","30.0","10.0","12.0","9.7","8.2"
"14","12.0","8.5","17.0","16.5","3.6","14.0","27.0","30.0","13.2","11.0","18.2","8.0"
"15","15.3","10.0","18.0","5.3","6.3","11.5","15.0","30.0","12.2","5.0","17.4","4.8"
"16","12.8","8.0","23.8","14.3","5.3","21.3","30.0","17.0","13.2","6.6","8.6","2.9"
"17","3.3","4.3","4.5","17.8","19.5","19.0","26.3","29.0","15.0","5.8","9.6","4.8"
"18","5.5","4.0","11.8","12.0","9.8","14.0","20.0","13.0","15.0","11.2","13.2","15.0"
"19","4.5","5.5","15.8","9.5","5.3","12.5","14.0","19.0","12.2","13.2","20.0","16.0"
"20","8.0","6.5","19.0","11.5","8.8","12.8","19.6","18.0","15.0","15.0","21.0","20.0"
"21","8.5","6.3","3.5","12.3","13.0","13.3","30.0","20.0","14.8","10.6","12.8","12.0"
"22","8.3","4.0","4.5","12.5","5.5","15.0","19.8","30.0","27.0","4.0","12.0","30.0"
"23","9.8","5.8","6.0","8.5","12.5","12.8","17.2","25.0","26.0","12.4","7.8","17.0"
"24","12.0","10.0","14.6","6.8","8.3","23.3","30.0","25.0","9.0","20.8","5.0","25.0"
"25","10.3","9.3","14.5","6.5","3.1","20.8","25.0","22.4","10.0","17.0","4.2","25.0"
"26","10.9","12.0","11.8","20.5","7.4","25.0","30.0","30.0","16.0","25.0","12.0","24.0"
"27","9.3","19.0","8.8","11.0","4.3","18.0","17.4","30.0","30.0","25.0","24.0","14.4"
"28","4.8","17.5","3.9","5.8","11.8","22.5","15.8","20.0","30.0","20.4","20.8","12.0"
"29","2.9","--","17.0","9.3","30.0","21.3","22.0","30.0","27.0","12.0","23.0","8.8"
"30","5.5","--","12.3","10.3","18.5","28.8","19.0","30.0","30.0","12.0","4.6","4.2"
"31","15.0","--","5.8","--","12.8","--","22.2","25.6","--","2.3","--","3.8"
"平均","9.9","9.2","12.9","13.5","11.1","17.0","22.6","24.9","17.1","13.9","12.0","10.7"
