
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","2.3 / 360","2.6 / 10","2.5 / 200","6.6 / 20","4.9 / 360","1.9 / 220","3.8 / 140","2.4 / 180","7.8 / 10","1.9 / 120","5.0 / 30","6.3 / 20"
"02","3.2 / 360","4.5 / 360","3.1 / 50","7.2 / 360","3.5 / 20","2.3 / 220","1.7 / 200","2.1 / 210","9.4 / 360","2.4 / 120","3.6 / 40","3.9 / 20"
"03","1.5 / 360","4.6 / 360","1.8 / 30","5.3 / 20","2.7 / 60","2.3 / 220","3.1 / 360","2.8 / 200","7.0 / 360","2.1 / 80","2.5 / 20","2.0 / 360"
"04","2.9 / 50","5.3 / 360","2.4 / 30","3.6 / 50","2.2 / 50","2.0 / 200","2.1 / 20","2.7 / 350","6.2 / 230","2.2 / 180","4.3 / 30","4.6 / 360"
"05","2.1 / 210","4.0 / 50","2.5 / 40","2.0 / 120","2.5 / 320","2.7 / 20","2.1 / 210","2.4 / 200","3.6 / 220","5.2 / 40","4.5 / 30","6.4 / 360"
"06","5.6 / 20","4.1 / 60","3.1 / 60","2.3 / 40","2.4 / 360","3.9 / 210","1.8 / 40","2.9 / 200","2.2 / 30","3.4 / 50","2.3 / 60","3.8 / 60"
"07","5.0 / 30","2.4 / 40","4.2 / 340","1.2 / 30","2.8 / 10","1.6 / 360","2.5 / 180","2.4 / 110","2.3 / 30","4.6 / 20","3.0 / 50","4.0 / 20"
"08","4.1 / 30","4.5 / 360","3.8 / 40","2.1 / 60","2.2 / 10","1.5 / 50","2.4 / 190","2.5 / 140","2.5 / 30","4.6 / 20","3.0 / 40","4.9 / 360"
"09","3.4 / 20","2.1 / 360","2.8 / 20","2.1 / 80","1.7 / 40","1.7 / 30","2.9 / 200","2.8 / 130","2.9 / 40","3.1 / 360","2.4 / 60","4.6 / 360"
"10","2.4 / 50","2.4 / 60","2.1 / 90","2.1 / 200","1.6 / 360","1.3 / 40","2.7 / 220","2.8 / 200","2.4 / 10","7.1 / 20","1.7 / 40","5.3 / 20"
"11","6.8 / 10","1.9 / 60","1.9 / 40","1.8 / 30","1.5 / 30","2.1 / 20","2.3 / 210","2.3 / 200","6.8 / 360","5.5 / 40","2.0 / 30","7.0 / 360"
"12","2.6 / 30","2.2 / 360","3.0 / 140","2.1 / 20","2.0 / 20","1.0 / 210","2.4 / 30","2.4 / 200","6.3 / 360","4.8 / 50","1.6 / 20","5.5 / 20"
"13","4.4 / 10","2.9 / 360","2.0 / 200","1.9 / 360","2.4 / 350","2.2 / 200","2.8 / 30","2.8 / 30","3.8 / 330","4.9 / 20","1.8 / 50","5.5 / 20"
"14","3.2 / 30","4.4 / 360","1.8 / 200","4.0 / 360","4.3 / 360","2.4 / 360","3.1 / 220","2.7 / 80","3.5 / 220","5.3 / 360","2.4 / 50","6.3 / 20"
"15","2.2 / 220","3.2 / 50","2.5 / 30","7.1 / 360","5.1 / 360","2.3 / 210","2.8 / 210","2.7 / 140","2.1 / 220","7.6 / 20","2.2 / 30","4.5 / 40"
"16","2.5 / 20","4.1 / 60","2.9 / 140","5.5 / 30","4.9 / 20","1.8 / 220","3.3 / 220","2.6 / 180","2.9 / 220","7.8 / 30","3.1 / 50","5.2 / 360"
