
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","89","85","77","73","88","85","72","69","77","65","90","95"
"02","80","97","85","86","85","82","83","85","90","69","94","97"
"03","82","96","82","69","84","81","83","74","88","66","98","97"
"04","95","92","79","66","92","81","83","71","84","74","93","96"
"05","93","78","77","71","97","74","83","73","74","85","80","92"
"06","80","86","80","79","90","76","80","68","82","90","88","82"
"07","73","85","91","86","87","92","78","65","78","87","90","93"
"08","71","80","58","76","92","94","76","69","69","86","91","91"
"09","79","94","64","67","90","93","79","64","71","92","82","94"
"10","86","93","66","74","85","92","73","69","72","70","89","88"
"11","75","87","76","81","93","90","74","74","87","61","93","94"
"12","81","91","65","82","91","93","74","75","87","81","95","83"
"13","73","92","75","81","90","80","71","75","86","80","91","84"
"14","65","80","75","83","95","84","72","74","79","86","78","89"
"15","81","74","80","85","93","91","67","67","78","94","81","95"
"16","90","82","71","63","93","89","62","71","83","97","95","96"
"17","97","92","84","69","74","84","72","72","79","91","90","80"
"18","89","96","81","79","86","82","73","81","70","76","88","59"
"19","92","90","84","71","93","84","83","76","72","64","88","60"
"20","84","81","82","78","92","79","82","77","64","69","88","69"
"21","89","87","95","88","87","78","74","71","68","85","87","75"
"22","92","93","96","82","97","78","75","69","63","97","87","64"
"23","91","87","92","85","95","80","74","64","71","86","91","60"
"24","90","79","83","86","95","79","74","63","80","61","96","51"
"25","90","90","83","87","98","80","73","75","90","60","96","58"
"26","91","88","89","83","97","78","72","65","90","67","86","67"
"27","89","71","87","88","98","74","76","68","78","78","81","71"
"28","96","78","90","93","92","70","76","77","76","83","85","83"
"29","97","--","88","89","85","69","79","80","71","80","88","87"
"30","87","--","89","92","81","69","81","77","69","88","92","93"
"31","64","--","97","--","96","--","73","78","--","96","--","91"
"平均","85","87","81","80","91","82","76","72","78","79","89","82"
