
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","13.0","12.3","0.0","7.0","3.4","0.0","0.0","0.6","11.7","23.5","22.2"
"02","1.3","24.0","19.0","0.0","9.8","1.7","0.0","0.0","0.5","11.7","2.0","19.6"
"03","17.5","12.0","22.7","7.8","9.3","0.0","0.0","0.0","0.0","24.0","2.8","0.0"
"04","17.4","0.0","12.1","22.5","23.7","0.0","0.0","0.0","0.0","24.0","1.2","0.7"
"05","14.7","0.0","0.0","0.0","11.2","0.0","0.0","3.5","0.0","17.9","0.0","19.7"
"06","22.5","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","12.1","10.4","18.6"
"07","18.5","0.0","9.2","0.0","0.0","0.0","0.0","0.0","0.0","10.5","24.0","8.9"
"08","20.6","0.0","0.0","4.7","0.0","0.0","0.0","0.0","0.0","11.1","24.0","22.2"
"09","24.0","13.8","3.3","20.1","0.0","0.0","0.7","2.6","1.2","11.1","24.0","24.0"
"10","24.0","3.0","21.8","1.5","0.0","6.7","9.8","0.5","0.0","1.0","24.0","24.0"
"11","24.0","22.7","24.0","4.5","0.0","0.0","1.5","0.5","0.0","3.7","24.0","24.0"
"12","23.5","8.6","5.5","0.0","8.3","1.1","0.3","0.6","0.0","9.5","20.9","24.0"
"13","18.5","18.2","0.0","0.0","20.2","3.1","1.6","0.0","0.0","3.2","24.0","24.0"
"14","14.8","19.5","0.0","0.0","24.0","0.0","0.0","1.7","2.0","6.6","18.2","22.9"
"15","21.3","19.6","13.7","0.0","17.0","0.0","0.6","0.0","1.2","6.1","24.0","24.0"
"16","13.9","7.2","0.0","5.6","24.0","0.0","1.9","0.0","0.0","0.0","11.9","24.0"
"17","11.6","5.5","0.0","17.8","12.6","0.0","0.0","0.0","0.0","0.0","11.4","11.8"
"18","10.9","24.0","4.2","1.0","0.0","0.0","0.5","0.0","1.9","0.3","9.4","8.1"
"19","18.3","24.0","0.2","0.0","0.0","0.7","1.5","0.0","3.7","0.0","12.8","24.0"
"20","24.0","23.3","0.0","0.0","0.0","0.0","4.3","0.0","5.8","10.0","2.7","15.4"
"21","20.4","6.5","4.2","0.0","0.3","5.0","2.3","0.0","0.0","6.4","0.3","20.2"
"22","7.3","0.0","24.0","7.2","2.1","0.0","0.0","0.0","0.0","0.0","0.0","24.0"
"23","14.0","0.0","5.2","5.5","10.7","0.0","0.0","0.0","5.9","0.0","12.3","23.1"
"24","19.6","6.7","12.8","0.0","17.6","10.3","0.0","0.0","2.0","0.7","0.0","2.5"
"25","23.2","2.3","4.4","0.0","4.4","14.2","0.0","0.2","1.1","0.7","0.0","0.9"
"26","24.0","0.5","22.5","0.0","13.6","1.9","0.0","4.0","14.1","0.0","1.1","12.5"
"27","21.1","0.0","24.0","0.0","22.5","0.0","0.7","3.6","7.2","4.8","7.5","13.2"
"28","24.0","0.0","17.2","0.0","14.1","2.4","0.0","11.6","5.7","0.5","1.0","0.0"
"29","24.0","--","0.0","2.7","0.0","1.5","0.0","13.6","0.0","0.0","13.7","20.2"
"30","19.2","--","0.0","1.8","0.0","0.0","0.0","3.5","6.8","0.0","9.4","23.4"
"31","11.7","--","0.0","--","0.0","--","0.0","0.0","--","2.8","--","22.5"
"總和","549.8","254.4","262.3","102.7","252.4","52.0","25.7","45.9","59.7","190.4","340.5","524.6"
