
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","54","84","89","62","83","82","74","68","80","84","91","86"
"02","63","85","85","69","90","89","75","70","80","79","85","88"
"03","83","81","84","78","87","88","73","75","76","90","90","64"
"04","75","78","75","84","92","80","73","71","74","91","79","63"
"05","83","68","71","63","91","75","74","76","69","87","76","91"
"06","81","72","84","80","82","74","75","64","68","81","89","91"
"07","77","66","71","78","79","73","73","69","64","77","91","85"
"08","85","65","57","81","71","73","68","74","70","81","93","90"
"09","80","79","68","87","64","78","68","76","77","83","92","86"
"10","83","81","84","83","67","82","80","74","77","80","92","90"
"11","84","79","88","81","65","77","71","73","80","79","90","86"
"12","72","65","89","61","87","77","71","74","83","85","93","92"
"13","82","85","80","71","88","79","78","73","83","84","95","89"
"14","84","81","76","76","92","77","75","76","84","86","88","90"
"15","77","81","82","72","91","72","76","75","80","85","92","91"
"16","66","80","59","78","93","73","82","71","75","65","83","84"
"17","69","85","52","86","89","71","79","69","76","63","78","73"
"18","85","91","64","77","72","73","74","68","73","64","87","70"
"19","83","91","77","56","75","69","72","65","70","68","89","86"
"20","87","86","75","57","83","65","74","67","71","89","67","96"
"21","84","72","83","56","82","67","77","73","66","88","61","91"
"22","69","69","88","70","81","63","77","75","61","76","68","83"
"23","84","75","69","66","84","63","72","69","66","79","79","83"
"24","79","87","72","36","89","79","70","71","82","85","61","62"
"25","83","80","60","55","84","79","72","74","78","76","64","58"
"26","88","72","79","64","89","75","71","80","87","68","67","68"
"27","86","79","82","65","93","74","63","76","83","77","78","86"
"28","85","89","75","69","89","73","64","79","74","80","89","83"
"29","81","--","57","73","66","79","64","78","76","76","94","85"
"30","75","--","58","82","71","74","71","75","87","76","94","83"
"31","70","--","64","--","74","--","68","79","--","77","--","85"
"平均","79","79","74","71","82","75","73","73","76","79","83","83"
