
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","2.1 / 50","1.7 / 220","1.8 / 10","2.7 / 330","1.0 / 40","2.0 / 200","2.5 / 240","5.0 / 250","2.8 / 220","4.9 / 40","3.1 / 50","6.9 / 40"
"02","1.6 / 10","1.7 / 40","5.1 / 30","1.5 / 20","1.8 / 30","2.1 / 20","2.2 / 20","3.0 / 220","2.5 / 210","3.3 / 20","6.3 / 10","3.9 / 40"
"03","1.9 / 230","2.7 / 50","3.0 / 30","2.0 / 10","2.4 / 50","2.0 / 30","2.6 / 50","2.0 / 210","2.3 / 50","5.1 / 20","5.6 / 40","1.9 / 160"
"04","4.2 / 20","5.4 / 50","2.0 / 340","3.9 / 40","1.7 / 190","1.6 / 30","2.2 / 40","2.3 / 40","2.5 / 50","6.9 / 20","3.8 / 50","6.8 / 20"
"05","3.7 / 30","3.3 / 50","5.0 / 30","1.4 / 40","5.5 / 360","1.3 / 20","2.3 / 40","1.6 / 210","2.7 / 60","6.6 / 20","1.8 / 40","5.1 / 30"
"06","1.6 / 60","2.2 / 230","4.3 / 30","4.1 / 60","2.0 / 20","1.5 / 30","3.0 / 230","2.0 / 220","2.5 / 50","6.1 / 40","2.9 / 50","4.7 / 60"
"07","1.5 / 50","1.7 / 360","4.6 / 30","1.2 / 240","1.3 / 200","1.4 / 40","3.7 / 40","2.3 / 210","2.2 / 20","4.7 / 50","4.0 / 60","2.5 / 70"
"08","4.0 / 10","5.0 / 10","3.6 / 320","1.5 / 50","2.6 / 40","2.3 / 20","5.1 / 350","2.7 / 230","2.6 / 40","4.9 / 50","1.7 / 10","7.2 / 30"
"09","5.9 / 10","6.8 / 10","5.2 / 10","1.8 / 10","1.2 / 20","4.3 / 20","3.3 / 240","2.2 / 230","2.7 / 40","5.1 / 30","5.3 / 10","4.7 / 40"
"10","2.8 / 70","7.4 / 10","2.9 / 60","3.0 / 40","1.5 / 40","3.8 / 360","2.0 / 230","2.0 / 200","2.2 / 230","6.1 / 10","3.8 / 40","1.8 / 340"
"11","1.9 / 120","3.9 / 360","1.8 / 200","1.8 / 80","1.8 / 190","5.7 / 20","2.7 / 230","2.3 / 230","2.1 / 90","5.7 / 10","1.7 / 40","6.0 / 10"
"12","4.5 / 10","3.3 / 210","1.8 / 220","2.4 / 40","1.7 / 30","4.1 / 40","2.0 / 50","2.5 / 50","1.5 / 50","3.1 / 350","3.5 / 30","6.2 / 20"
"13","5.4 / 20","5.9 / 10","4.9 / 10","3.9 / 30","2.2 / 210","3.5 / 50","2.4 / 230","2.0 / 40","2.6 / 10","2.8 / 20","4.6 / 60","5.3 / 30"
"14","7.9 / 10","6.1 / 10","3.5 / 20","4.9 / 20","3.3 / 230","2.2 / 150","2.6 / 40","1.9 / 210","4.3 / 50","3.5 / 30","3.9 / 70","2.3 / 70"
"15","5.6 / 10","3.1 / 50","2.5 / 130","3.3 / 50","2.3 / 210","1.8 / 30","2.4 / 20","2.1 / 240","4.0 / 140","2.6 / 30","2.5 / 60","2.2 / 10"
"16","3.3 / 60","1.4 / 190","1.5 / 220","2.3 / 190","1.6 / 10","1.8 / 50","3.5 / 130","2.5 / 50","2.2 / 10","3.3 / 50","2.9 / 50","6.1 / 20"
"17","3.5 / 40","1.8 / 220","1.6 / 50","2.1 / 40","2.2 / 220","2.9 / 210","4.4 / 150","1.9 / 220","2.0 / 50","3.2 / 60","8.4 / 10","6.0 / 20"
"18","5.8 / 10","2.8 / 350","2.1 / 220","2.0 / 30","1.7 / 200","3.4 / 230","3.3 / 140","2.4 / 210","2.3 / 80","2.8 / 70","6.5 / 40","4.3 / 60"
"19","3.5 / 70","5.6 / 360","1.8 / 40","1.6 / 40","1.3 / 360","1.5 / 40","2.4 / 100","2.1 / 220","3.1 / 70","1.6 / 110","2.8 / 70","1.6 / 230"
"20","4.8 / 10","5.6 / 10","5.6 / 10","2.5 / 40","2.6 / 210","1.5 / 210","2.9 / 120","1.6 / 210","3.0 / 70","1.3 / 240","2.2 / 40","4.9 / 20"
"21","7.1 / 10","4.2 / 60","5.7 / 30","2.9 / 30","1.8 / 130","1.8 / 40","2.9 / 70","1.9 / 20","5.0 / 150","2.4 / 220","1.4 / 40","5.0 / 10"
"22","4.8 / 20","1.6 / 70","3.6 / 60","3.1 / 360","1.5 / 30","1.6 / 230","4.9 / 60","2.8 / 40","2.4 / 230","3.6 / 20","1.8 / 40","4.8 / 60"
"23","3.0 / 60","2.0 / 110","1.8 / 100","3.4 / 30","1.7 / 40","2.1 / 230","6.1 / 140","2.5 / 210","1.7 / 240","3.2 / 50","2.0 / 90","1.9 / 80"
"24","2.0 / 210","2.3 / 170","2.3 / 130","1.6 / 360","1.6 / 120","1.8 / 360","1.8 / 30","2.3 / 40","1.2 / 40","1.1 / 60","1.7 / 240","3.2 / 10"
"25","2.3 / 220","1.8 / 10","1.9 / 40","1.1 / 30","1.7 / 220","1.5 / 40","2.1 / 210","2.0 / 50","2.6 / 40","2.3 / 50","2.2 / 20","3.5 / 30"
"26","4.9 / 10","1.3 / 40","1.5 / 10","1.9 / 140","2.5 / 30","2.5 / 220","2.4 / 340","2.5 / 130","2.2 / 60","2.2 / 30","3.5 / 30","4.5 / 50"
"27","4.2 / 40","2.7 / 60","2.4 / 60","2.5 / 220","1.4 / 10","2.1 / 40","2.6 / 40","2.0 / 360","1.8 / 50","4.7 / 50","1.8 / 30","3.5 / 40"
"28","2.4 / 40","1.9 / 40","2.0 / 30","3.3 / 40","2.4 / 30","1.5 / 40","2.5 / 50","2.5 / 10","1.7 / 60","4.2 / 60","1.5 / 40","3.8 / 10"
"29","1.9 / 210","-- / --","2.6 / 210","3.7 / 50","1.4 / 230","2.4 / 40","2.8 / 40","2.0 / 110","1.7 / 40","2.3 / 70","2.2 / 20","2.7 / 20"
"30","2.0 / 40","-- / --","3.4 / 50","1.9 / 70","1.7 / 30","2.0 / 50","3.1 / 20","2.0 / 40","3.7 / 50","2.4 / 110","1.5 / 50","2.0 / 230"
"31","1.8 / 110","-- / --","1.7 / 40","-- / --","1.8 / 360","-- / --","3.0 / 340","2.0 / 50","-- / --","2.4 / 40","-- / --","3.2 / 40"
"平均","3.6","3.4","3.0","2.5","2.0","2.3","3.0","2.3","2.5","3.7","3.2","4.1"
