
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","75","76","84","84","92","84","80","63","69","79","80","75"
"02","82","78","86","82","88","80","77","69","67","75","80","67"
"03","82","78","83","84","76","85","75","76","68","67","59","69"
"04","59","84","89","64","75","78","73","72","74","61","59","74"
"05","56","88","75","64","82","87","68","72","74","64","67","59"
"06","64","89","85","70","90","86","69","74","78","61","71","58"
"07","71","90","88","84","92","89","74","73","78","63","64","65"
"08","79","87","90","86","87","92","75","71","73","68","71","82"
"09","82","87","76","86","88","94","68","73","74","80","81","81"
"10","78","85","65","76","87","93","75","75","75","85","69","89"
"11","73","86","70","71","80","88","76","73","68","82","71","88"
"12","83","90","85","76","85","78","73","78","70","70","81","75"
"13","79","90","79","76","88","79","69","80","71","70","69","61"
"14","80","85","57","71","72","76","72","74","78","62","73","70"
"15","60","73","56","67","79","82","72","73","68","60","76","80"
"16","61","80","74","68","89","83","62","75","65","61","87","65"
"17","67","80","75","72","87","73","63","69","74","71","84","57"
"18","57","88","76","76","84","75","62","73","71","64","66","61"
"19","57","84","78","83","91","83","66","76","70","74","71","82"
"20","73","60","80","87","89","84","66","79","67","70","86","67"
"21","58","61","60","84","87","83","67","75","67","75","83","68"
"22","58","79","60","88","90","85","79","68","78","76","80","59"
"23","61","74","65","81","91","86","74","70","78","65","72","61"
"24","66","68","68","93","83","84","74","67","84","77","74","75"
"25","67","81","74","94","81","83","76","72","81","84","79","72"
"26","66","82","74","89","79","78","73","68","80","81","77","70"
"27","64","79","82","86","91","79","67","65","77","73","88","81"
"28","69","76","79","74","87","81","71","69","75","66","88","87"
"29","74","--","80","70","93","84","74","65","78","66","79","64"
"30","83","--","68","77","92","81","79","70","80","66","82","72"
"31","72","--","76","--","89","--","72","72","--","68","--","69"
"平均","70","81","75","79","86","83","72","72","74","70","76","71"
