
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","0.0","4.8","4.8","18.4","0.0","2.5","0.0","0.0","0.4","0.9","19.3"
"02","T","0.0","24.6","0.0","0.0","T","0.0","2.1","0.0","0.0","18.2","1.9"
"03","0.0","0.0","11.0","4.4","1.5","6.0","0.0","0.0","0.0","2.7","0.4","1.9"
"04","0.0","18.5","11.3","0.0","0.3","0.0","0.0","0.0","0.0","0.3","0.0","27.3"
"05","0.0","35.1","6.3","0.0","44.4","28.2","0.0","0.1","0.7","T","0.0","0.0"
"06","0.0","0.6","36.4","0.8","25.0","46.5","0.0","0.1","1.1","0.7","0.0","0.0"
"07","0.0","1.3","48.0","5.4","4.1","29.0","0.0","0.0","0.0","0.1","0.0","1.3"
"08","4.6","25.1","22.5","0.5","T","7.5","4.5","0.0","0.0","0.1","0.0","26.2"
"09","15.9","118.3","7.0","0.5","15.5","1.1","0.0","0.0","0.0","6.6","4.6","66.0"
"10","1.2","19.4","T","0.0","0.5","7.5","5.5","16.0","0.0","2.3","0.0","5.8"
"11","0.0","8.7","0.0","0.0","T","10.5","0.3","0.0","0.0","1.1","0.0","13.1"
"12","2.5","71.3","7.6","0.0","11.4","0.0","T","21.1","0.5","0.1","33.5","10.0"
"13","12.9","98.5","9.3","0.6","T","0.0","0.0","16.6","0.0","0.0","15.1","0.0"
"14","27.4","26.4","0.0","0.0","0.0","0.2","0.0","0.0","21.6","0.0","5.5","T"
"15","0.0","0.5","0.0","0.0","22.6","3.7","0.0","0.0","0.1","0.0","9.5","0.0"
"16","0.0","0.6","0.0","0.0","29.3","1.2","0.0","0.0","0.0","T","14.9","1.5"
"17","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.7","30.3","0.0"
"18","0.0","10.3","0.0","0.0","1.5","39.5","0.0","0.5","0.0","0.0","3.4","T"
"19","0.0","39.2","0.0","0.0","6.4","0.1","0.0","1.3","4.7","0.0","4.7","2.1"
"20","0.4","0.0","4.6","6.3","93.2","2.2","0.0","21.0","0.1","0.0","25.8","T"
"21","0.0","0.6","0.2","0.0","81.5","0.0","6.3","2.4","47.3","0.0","0.8","4.8"
"22","0.0","4.2","0.0","8.4","6.8","56.5","51.5","0.0","46.0","9.6","0.0","0.0"
"23","0.0","0.0","0.0","0.5","10.6","90.3","57.9","0.0","0.9","0.4","0.0","0.0"
"24","0.0","0.0","0.0","37.8","5.2","T","0.0","0.0","14.7","0.1","0.0","0.0"
"25","0.0","0.0","0.0","24.0","0.0","8.0","4.2","0.0","2.0","0.5","0.0","4.5"
"26","0.0","0.0","0.0","41.6","0.8","0.0","0.0","0.0","1.5","0.0","0.7","1.3"
"27","0.0","T","1.0","0.0","6.7","0.0","0.0","0.0","0.0","0.5","14.7","29.0"
"28","0.0","0.0","0.0","0.0","2.0","0.0","0.0","0.0","0.0","0.3","T","21.9"
"29","0.0","--","29.0","0.0","75.8","0.4","0.0","0.0","0.0","0.0","0.0","0.0"
"30","0.0","--","0.0","4.9","18.5","6.1","1.3","0.0","0.2","0.0","0.0","0.0"
"31","0.0","--","16.2","--","0.1","--","18.6","0.0","--","0.0","--","0.0"
"總和","64.9","478.6","239.8","140.5","482.1","344.5","152.6","81.2","141.4","27.5","183.0","237.9"
