
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","88","77","88","76","84","88","70","63","68","73","74","81"
"02","90","74","91","82","78","85","81","72","65","79","73","67"
"03","92","80","89","86","69","82","80","75","69","79","79","59"
"04","85","94","74","84","69","82","75","73","85","74","67","59"
"05","92","91","74","83","66","82","60","81","84","71","67","80"
"06","91","84","83","79","85","80","59","76","74","74","64","83"
"07","87","83","78","75","85","80","68","82","75","73","69","65"
"08","92","92","91","78","95","78","76","83","79","74","65","53"
"09","89","94","94","80","96","68","70","77","69","71","58","64"
"10","86","96","84","81","86","76","68","61","67","68","67","82"
"11","91","96","74","87","89","93","77","63","73","75","70","74"
"12","91","95","64","72","88","85","79","69","80","76","69","61"
"13","88","93","62","83","82","92","74","67","80","70","69","74"
"14","77","95","70","84","81","84","68","67","78","64","63","77"
"15","86","93","70","70","87","68","74","70","79","62","62","68"
"16","88","94","57","88","81","66","71","71","76","72","64","78"
"17","79","94","88","77","87","76","84","68","75","65","77","72"
"18","58","94","87","73","80","76","82","81","72","69","85","90"
"19","72","87","80","83","81","72","79","86","67","73","71","93"
"20","83","92","76","89","84","69","76","81","76","66","71","94"
"21","85","94","83","86","62","65","78","78","88","63","85","97"
"22","70","90","89","83","69","69","77","72","73","67","92","86"
"23","60","82","79","84","83","86","76","80","67","72","92","83"
"24","66","91","84","83","71","88","75","77","65","67","86","88"
"25","71","85","89","82","61","77","75","70","64","64","76","87"
"26","62","78","75","81","65","80","70","70","82","64","74","84"
"27","66","88","81","87","76","80","70","67","86","77","83","69"
"28","75","88","75","84","85","72","69","68","89","85","76","70"
"29","72","--","85","84","67","76","64","73","91","85","69","82"
"30","77","--","79","82","77","74","63","79","87","77","80","90"
"31","73","--","72","--","81","--","63","75","--","87","--","82"
"平均","80","89","80","82","79","78","73","73","76","72","73","77"
