
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","5.5 / 40","2.9 / 20","2.7 / 40","4.2 / 60","3.5 / 10","1.7 / 30","3.0 / 10","3.2 / 130","3.4 / 140","4.5 / 240","4.2 / 50","3.4 / 10"
"02","4.7 / 50","2.3 / 170","1.2 / 10","1.4 / 210","2.0 / 60","1.5 / 30","2.6 / 10","3.0 / 40","3.7 / 130","2.3 / 30","2.9 / 60","7.9 / 10"
"03","4.5 / 30","1.7 / 200","2.5 / 360","3.4 / 230","2.7 / 40","1.9 / 30","1.7 / 30","2.7 / 50","2.8 / 120","2.0 / 30","3.7 / 10","6.6 / 50"
"04","2.7 / 230","3.5 / 10","3.6 / 50","2.8 / 50","1.7 / 130","1.6 / 230","1.5 / 30","2.4 / 60","1.2 / 360","2.2 / 40","6.0 / 10","6.2 / 30"
"05","1.8 / 10","1.7 / 10","3.6 / 60","1.9 / 350","1.9 / 120","1.7 / 210","3.5 / 220","3.2 / 50","2.5 / 320","2.6 / 60","6.0 / 30","5.9 / 30"
"06","3.5 / 70","2.5 / 220","4.3 / 10","1.4 / 40","3.0 / 50","1.8 / 40","3.7 / 220","3.4 / 60","3.0 / 230","4.1 / 60","3.4 / 50","7.0 / 30"
"07","1.9 / 50","3.4 / 10","4.8 / 30","2.7 / 240","4.4 / 30","2.0 / 230","2.6 / 210","3.8 / 40","2.5 / 210","2.9 / 60","4.0 / 40","7.7 / 10"
"08","3.7 / 30","3.9 / 10","3.7 / 50","1.7 / 210","2.0 / 350","1.7 / 230","1.7 / 30","5.6 / 10","1.7 / 230","3.6 / 40","5.9 / 30","4.0 / 30"
"09","3.8 / 50","4.0 / 10","1.1 / 210","1.8 / 40","2.1 / 10","3.0 / 210","2.3 / 210","6.4 / 240","2.1 / 50","3.9 / 40","4.3 / 30","2.8 / 60"
"10","1.2 / 30","2.9 / 10","3.2 / 10","4.0 / 50","2.2 / 50","1.7 / 210","2.4 / 30","5.6 / 230","2.0 / 80","2.0 / 30","2.0 / 40","1.5 / 230"
"11","2.0 / 10","4.6 / 10","2.5 / 20","2.9 / 350","1.6 / 30","1.9 / 10","1.3 / 80","5.6 / 230","3.0 / 50","1.8 / 30","2.0 / 50","3.6 / 50"
"12","2.6 / 20","2.4 / 30","2.1 / 80","3.9 / 60","2.6 / 40","1.8 / 40","2.2 / 210","2.7 / 220","3.6 / 60","1.8 / 40","2.0 / 50","4.6 / 50"
"13","2.8 / 10","2.6 / 10","2.3 / 80","1.5 / 30","1.5 / 20","1.0 / 10","2.9 / 210","2.4 / 230","2.7 / 30","3.0 / 30","2.6 / 30","1.4 / 30"
"14","1.9 / 60","1.7 / 10","3.6 / 10","3.1 / 10","2.6 / 50","3.2 / 360","2.9 / 230","2.7 / 240","2.8 / 30","5.4 / 30","6.0 / 30","2.1 / 50"
"15","2.9 / 20","1.6 / 40","3.6 / 10","3.2 / 50","1.6 / 30","2.9 / 50","2.4 / 30","2.5 / 210","4.0 / 10","6.7 / 30","3.6 / 60","1.6 / 90"
"16","5.5 / 30","3.8 / 10","1.8 / 60","1.9 / 330","1.5 / 50","1.6 / 80","2.7 / 50","2.9 / 220","4.7 / 10","4.7 / 30","2.0 / 120","1.4 / 50"
"17","5.0 / 20","4.4 / 10","1.8 / 50","2.2 / 260","1.7 / 230","1.8 / 50","4.8 / 60","2.8 / 220","4.6 / 10","4.5 / 10","1.9 / 40","1.8 / 220"
"18","3.3 / 60","1.9 / 40","2.3 / 20","1.9 / 360","2.6 / 210","2.0 / 200","4.0 / 30","2.1 / 210","5.8 / 10","4.4 / 10","4.7 / 30","3.9 / 10"
"19","1.9 / 200","2.3 / 10","2.0 / 60","1.8 / 10","1.5 / 30","2.5 / 220","2.0 / 220","1.5 / 40","7.4 / 10","6.6 / 10","7.4 / 40","4.5 / 10"
"20","4.4 / 10","1.5 / 20","1.8 / 10","1.5 / 20","3.6 / 20","2.2 / 30","2.0 / 40","1.8 / 30","6.0 / 10","5.6 / 10","6.4 / 50","4.0 / 10"
"21","4.6 / 20","2.2 / 10","2.2 / 30","1.5 / 40","2.8 / 60","2.5 / 260","1.8 / 210","1.5 / 30","4.8 / 230","3.7 / 10","5.6 / 10","1.9 / 360"
"22","4.4 / 10","3.9 / 20","4.3 / 30","2.1 / 210","1.6 / 30","3.2 / 220","2.1 / 210","2.3 / 110","2.5 / 220","1.8 / 50","2.8 / 10","2.7 / 10"
"23","3.0 / 60","4.5 / 30","5.4 / 30","2.1 / 210","1.5 / 60","2.0 / 230","2.5 / 40","3.5 / 50","3.8 / 10","1.7 / 10","1.1 / 320","1.8 / 10"
"24","3.1 / 50","3.6 / 10","1.9 / 50","2.1 / 30","2.4 / 110","1.5 / 20","2.1 / 210","5.0 / 70","4.0 / 30","3.7 / 10","1.8 / 10","2.4 / 360"
"25","2.6 / 30","2.9 / 30","2.5 / 330","2.2 / 40","3.1 / 170","1.6 / 230","2.2 / 190","3.5 / 150","3.1 / 40","3.3 / 40","5.7 / 40","1.6 / 20"
