
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","43.0","0.4","0.6","9.5","60.5","18.5","T","0.0","0.0","22.0","0.5","0.1"
"02","45.0","0.0","0.0","2.0","12.0","0.2","30.5","0.1","0.0","0.0","0.0","0.4"
"03","40.0","0.0","5.0","2.0","2.0","1.5","27.0","0.0","0.4","0.0","9.0","0.0"
"04","2.0","41.5","0.0","0.5","0.0","3.0","T","0.5","39.5","0.0","0.0","0.5"
"05","10.0","12.5","0.0","T","0.2","0.0","0.0","1.0","37.5","0.0","2.0","49.5"
"06","47.5","0.0","6.0","0.0","45.5","2.5","0.1","0.9","9.0","0.0","0.0","74.0"
"07","8.0","0.5","25.0","0.0","33.0","43.0","0.0","11.5","0.0","0.5","0.0","4.0"
"08","31.5","8.5","45.5","0.0","27.5","0.0","1.0","28.0","14.5","1.0","0.9","0.0"
"09","9.5","23.5","32.5","0.0","27.5","0.0","0.0","43.0","0.0","T","0.0","0.0"
"10","0.0","18.0","14.0","5.5","2.5","7.0","0.0","0.0","0.5","0.0","0.0","1.0"
"11","T","19.5","0.0","18.5","0.0","115.5","1.5","0.0","T","0.0","0.0","4.0"
"12","7.0","7.0","0.0","0.5","0.0","41.0","8.5","0.0","0.0","0.0","0.0","0.0"
"13","12.5","1.0","0.0","2.5","0.0","35.0","0.0","0.0","0.0","0.2","0.0","0.0"
"14","1.5","3.0","T","2.5","0.0","48.5","0.0","0.0","0.0","0.4","0.1","0.1"
"15","20.5","1.0","6.5","9.0","0.0","0.0","0.0","0.0","28.5","0.1","0.0","0.0"
"16","53.0","14.5","0.5","19.5","2.5","0.0","0.0","8.5","0.5","2.0","0.0","0.0"
"17","12.0","30.0","6.0","0.0","19.5","0.1","10.0","0.0","0.4","0.1","0.0","0.0"
"18","0.0","23.0","4.0","0.0","7.5","0.3","8.0","52.0","1.5","T","37.5","29.5"
"19","0.0","0.0","0.0","3.0","18.5","0.0","12.5","3.0","0.7","3.0","1.5","35.5"
"20","7.5","0.5","0.0","8.5","76.5","0.0","0.2","0.3","35.0","0.0","6.0","53.5"
"21","26.5","6.0","0.0","22.5","0.0","0.0","0.0","1.0","106.0","0.0","64.0","13.5"
"22","4.5","10.5","20.5","0.5","0.0","2.0","2.5","0.0","1.0","0.0","63.0","0.5"
"23","0.0","5.5","6.0","T","10.0","50.0","T","6.0","0.0","0.5","5.0","0.0"
"24","0.0","59.5","4.0","0.0","0.0","27.0","0.5","16.0","0.1","0.0","0.0","0.0"
"25","0.0","4.5","14.5","T","0.0","15.0","0.0","1.0","0.0","0.0","1.0","0.0"
"26","0.0","0.0","0.0","1.5","0.0","17.5","0.0","0.0","98.5","0.1","2.0","0.5"
"27","0.5","T","0.0","13.0","7.0","3.5","0.0","0.0","77.5","6.0","13.5","T"
"28","0.0","2.0","0.0","0.5","52.0","0.0","0.0","0.0","93.0","6.5","7.5","0.0"
"29","0.1","--","15.0","0.0","T","0.0","0.0","0.0","28.5","45.0","2.0","15.0"
"30","0.0","--","3.0","18.5","0.0","0.0","0.0","0.5","86.5","0.9","3.5","30.0"
"31","0.0","--","0.5","--","0.0","--","0.0","0.0","--","64.0","--","41.0"
"總和","382.1","292.4","209.1","140.0","404.2","431.1","102.3","173.3","659.1","152.3","219.0","352.6"
