
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","84","70","85","89","74","77","66","62","88","83","92","69"
"02","86","87","84","78","64","79","74","64","72","71","83","69"
"03","84","89","69","73","64","83","72","67","71","65","90","68"
"04","89","84","65","88","76","86","69","68","63","69","86","72"
"05","92","81","59","89","79","85","74","64","75","83","89","73"
"06","90","88","66","78","76","77","73","70","76","84","91","78"
"07","94","91","77","59","76","74","70","72","74","82","80","78"
"08","93","91","67","69","73","72","64","65","76","87","77","83"
"09","90","91","71","81","76","75","63","69","78","87","75","82"
"10","85","94","78","63","81","81","67","70","77","87","83","67"
"11","85","95","78","78","90","87","72","65","76","85","89","64"
"12","92","94","87","81","91","89","76","61","74","76","91","78"
"13","88","86","81","76","90","81","72","61","72","70","90","83"
"14","66","88","75","86","83","72","66","68","78","75","87","86"
"15","69","91","84","72","84","82","66","78","82","68","85","92"
"16","83","80","84","81","86","82","65","72","73","61","88","93"
"17","76","82","81","74","85","80","59","72","71","69","56","91"
"18","66","79","76","80","87","71","62","67","84","72","55","82"
"19","70","92","81","87","79","77","66","69","85","81","55","76"
"20","72","86","80","88","85","76","70","80","87","72","67","75"
"21","77","92","87","79","87","74","66","81","85","73","77","84"
"22","86","92","80","71","88","71","64","81","80","68","83","78"
"23","82","78","85","78","86","77","66","81","76","73","70","91"
"24","73","74","82","82","84","78","68","76","78","72","74","83"
"25","73","80","74","88","75","72","69","72","81","64","74","91"
"26","76","81","80","71","73","69","70","67","69","61","62","80"
"27","69","90","86","75","74","65","69","70","75","62","75","62"
"28","64","83","84","80","74","65","67","75","85","71","65","71"
"29","79","--","87","82","78","74","63","86","85","73","56","79"
"30","73","--","92","77","78","75","66","76","85","74","68","88"
"31","66","--","87","--","78","--","65","88","--","81","--","76"
"平均","80","86","79","78","80","77","68","72","78","74","77","79"
