
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","21.5","0.0","7.5","27.5","41.3","0.0","0.0","0.2","71.5","0.0","67.7","0.0"
"02","0.4","3.3","9.0","2.0","0.0","0.1","0.0","0.6","0.0","0.0","1.1","0.0"
"03","36.3","0.6","T","11.0","0.0","0.6","0.0","0.0","0.0","0.2","8.2","0.0"
"04","44.5","1.7","0.0","14.9","T","56.5","0.0","0.0","0.0","0.5","63.5","0.5"
"05","78.0","1.1","0.0","23.5","0.0","4.9","0.3","0.0","0.0","2.9","15.9","1.7"
"06","28.6","5.5","0.0","10.1","0.0","0.0","0.0","0.0","0.0","28.8","6.3","11.4"
"07","39.0","34.4","0.0","0.0","T","0.0","0.0","0.0","0.0","1.3","7.0","2.6"
"08","62.5","36.3","0.0","0.0","0.0","0.0","0.0","0.0","T","T","0.1","5.3"
"09","45.5","17.1","0.0","17.2","0.2","T","0.0","0.0","0.0","6.5","T","T"
"10","27.5","50.8","1.3","2.5","2.1","17.1","0.0","0.0","0.0","T","2.1","0.0"
"11","4.5","41.9","T","33.0","193.5","27.0","0.0","0.0","0.0","0.1","41.4","0.0"
"12","70.0","13.8","0.0","32.0","58.5","12.5","6.7","0.0","0.3","T","21.0","3.7"
"13","23.5","7.0","6.7","0.9","7.0","0.9","69.1","0.0","T","1.5","51.0","0.1"
"14","0.0","0.0","0.4","4.5","0.0","0.8","0.0","19.9","0.0","1.2","24.0","23.0"
"15","0.0","13.6","8.1","0.0","13.1","0.0","0.0","2.6","14.1","1.1","12.5","115.9"
"16","19.5","0.5","0.0","0.0","2.7","1.0","0.0","0.0","0.0","T","4.7","34.9"
"17","6.7","0.0","0.0","0.4","7.5","0.5","0.0","0.0","T","10.4","0.0","106.9"
"18","0.1","0.0","0.0","3.5","T","0.0","T","0.0","80.9","4.2","0.0","21.3"
"19","0.0","16.7","0.0","16.7","0.2","0.0","T","0.0","1.1","6.3","0.0","9.3"
"20","0.0","7.5","3.1","17.0","48.0","T","0.0","17.0","16.5","0.0","0.0","15.0"
"21","0.0","20.5","10.5","10.2","16.7","0.0","0.0","81.8","43.5","8.1","0.1","31.8"
"22","2.7","28.1","0.0","0.0","29.2","T","0.0","53.5","47.0","2.7","4.1","8.1"
"23","4.0","1.0","0.0","0.0","T","1.1","0.0","16.5","0.5","T","0.0","64.5"
"24","0.1","T","3.7","0.2","0.9","5.5","0.0","0.0","0.0","5.3","2.7","29.2"
"25","0.3","0.0","1.0","10.9","0.0","0.0","0.0","0.0","7.6","T","19.9","67.2"
"26","1.9","0.0","3.3","T","0.0","0.0","0.0","0.0","0.0","0.0","0.0","46.2"
"27","4.8","36.2","2.7","17.5","0.0","0.0","0.0","0.0","3.0","T","5.2","0.6"
"28","0.0","0.1","20.5","5.9","0.0","0.0","0.0","1.9","1.2","0.0","9.5","6.0"
"29","T","--","10.3","0.0","3.6","0.0","0.0","47.4","0.1","0.1","0.0","14.5"
"30","0.0","--","7.7","39.0","0.0","0.0","0.0","0.0","T","2.9","0.0","5.1"
"31","0.0","--","16.8","--","0.0","--","0.0","246.5","--","14.4","--","0.0"
"總和","521.9","337.7","112.6","300.4","424.5","128.5","76.1","487.9","287.3","98.5","368.0","624.8"
