
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","24.0","0.0","0.0","10.1","0.0","0.0","4.0","0.0","0.0","7.2","24.0"
"02","2.0","19.8","0.0","0.0","0.0","14.5","0.5","0.0","2.6","0.5","3.1","20.1"
"03","18.4","22.9","0.0","0.0","0.0","3.0","0.0","0.0","7.1","6.2","4.5","24.0"
"04","6.8","19.3","0.0","0.0","0.0","0.0","0.0","0.0","6.2","0.5","20.2","7.5"
"05","3.9","19.6","0.0","0.0","4.1","8.7","0.0","0.0","1.0","2.4","0.0","10.5"
"06","10.0","1.3","0.0","0.0","0.0","5.8","1.0","1.0","3.6","15.3","0.0","0.0"
"07","13.8","0.0","0.0","0.0","0.0","0.7","4.1","0.0","0.0","23.0","0.0","0.0"
"08","9.5","0.0","1.8","3.7","2.2","0.0","19.5","0.8","4.3","14.8","10.9","13.3"
"09","4.5","0.0","20.2","1.7","2.8","0.5","9.5","1.9","15.3","23.6","11.0","2.0"
"10","0.0","0.0","24.0","9.6","5.8","1.7","4.8","5.7","9.5","22.5","16.8","9.3"
"11","21.0","0.0","22.9","18.6","5.5","2.2","2.7","5.9","0.0","21.8","0.0","11.1"
"12","16.6","0.0","16.9","4.0","0.0","4.0","4.2","1.0","2.7","24.0","0.0","1.5"
"13","24.0","0.0","7.8","16.5","3.5","10.2","0.0","1.7","2.5","6.8","0.0","0.0"
"14","3.5","14.7","9.2","15.9","6.2","14.5","0.0","0.0","17.8","2.4","0.0","5.5"
"15","10.8","13.2","16.7","14.4","0.5","0.0","0.0","0.0","7.0","17.7","1.0","5.9"
"16","16.0","10.7","12.8","2.5","13.0","0.0","0.0","0.0","1.1","6.7","6.6","0.0"
"17","17.9","19.8","4.9","10.1","6.2","7.2","0.0","0.0","20.8","17.9","0.0","0.0"
"18","3.5","15.9","14.0","12.2","8.7","2.7","5.2","0.0","11.7","14.1","6.0","0.0"
"19","22.5","9.0","14.0","0.0","0.0","0.0","0.0","1.0","0.9","7.4","0.0","0.0"
"20","20.8","3.8","3.6","0.0","0.0","0.0","1.0","0.0","5.0","20.9","6.3","0.0"
"21","24.0","0.0","14.4","0.0","7.2","0.0","0.0","0.0","2.8","6.1","11.0","0.0"
"22","24.0","0.0","7.0","0.0","1.4","0.0","0.0","0.0","3.2","0.4","13.3","11.3"
"23","22.4","21.5","22.5","2.3","9.0","0.0","0.0","0.0","4.7","2.5","24.0","0.0"
"24","7.0","21.3","17.0","4.8","5.0","0.0","0.0","0.0","0.0","1.7","24.0","0.0"
"25","0.0","21.5","21.5","5.4","1.5","0.8","0.0","0.0","2.4","0.0","18.3","1.3"
"26","0.0","24.0","0.0","2.2","2.0","0.0","0.0","0.3","5.0","0.0","12.2","0.0"
"27","0.0","24.0","4.1","8.0","5.0","0.0","0.0","1.9","20.2","0.0","12.3","21.5"
"28","15.8","5.5","0.0","8.0","3.3","0.0","0.0","2.1","4.5","0.0","0.0","13.9"
"29","22.7","0.0","0.0","0.0","0.0","1.5","0.0","0.0","0.0","17.0","5.7","3.5"
"30","20.2","--","0.0","3.5","0.0","1.5","0.0","0.0","0.0","2.2","10.3","2.7"
"31","9.2","--","2.3","--","0.0","--","0.0","0.0","--","3.9","--","6.8"
"總和","370.8","311.8","257.6","143.4","103.0","79.5","52.5","27.3","161.9","282.3","224.7","195.7"
