
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","44.5","0.0","0.0","3.8","0.0","0.0","3.0","0.0","0.0","7.7","38.6"
"02","T","39.7","0.0","0.0","0.0","18.0","T","0.0","2.5","0.7","0.5","16.0"
"03","17.0","42.0","0.0","0.0","0.0","2.4","0.0","0.0","8.8","1.5","0.9","17.7"
"04","0.6","56.5","0.0","0.0","0.0","0.0","0.0","0.0","21.0","2.0","38.3","0.6"
"05","0.3","20.2","0.0","0.0","46.0","25.5","0.0","0.0","0.2","2.2","0.0","3.5"
"06","29.5","0.3","0.0","0.0","0.0","13.6","2.2","0.3","7.0","33.0","0.0","0.0"
"07","5.0","0.0","0.0","0.0","0.0","2.5","7.9","0.0","0.0","40.2","0.0","0.0"
"08","10.8","0.0","0.3","0.2","4.5","0.0","36.0","2.0","21.0","93.2","11.5","6.5"
"09","0.3","0.0","32.0","0.2","4.8","0.2","11.5","2.8","54.0","246.0","2.4","0.3"
"10","0.0","0.0","55.8","10.3","26.6","5.3","4.3","51.0","12.5","76.0","31.0","2.2"
"11","28.5","0.0","20.5","16.3","24.0","2.5","5.0","8.4","0.0","14.9","0.0","12.0"
"12","16.5","0.0","26.0","4.4","0.0","0.6","10.7","3.0","6.5","115.0","0.0","0.1"
"13","21.1","0.0","41.5","49.1","0.5","29.8","0.0","1.0","6.1","2.5","0.0","0.0"
"14","0.8","53.0","10.0","33.0","1.2","37.0","0.0","0.0","55.0","0.6","0.0","1.0"
"15","3.5","4.2","10.0","11.0","2.5","0.0","0.0","0.0","13.2","66.5","T","1.9"
"16","9.4","1.6","8.0","0.1","39.0","0.0","0.0","0.0","0.4","4.0","1.2","0.0"
"17","16.0","9.4","4.0","1.8","0.6","108.0","0.0","0.0","62.0","17.6","0.0","0.0"
"18","0.3","20.0","20.5","6.5","1.6","2.0","26.7","0.0","12.1","17.0","1.1","0.0"
"19","14.0","1.4","7.8","0.0","0.0","0.0","0.0","4.5","0.4","2.3","0.0","0.0"
"20","19.9","0.3","1.5","0.0","0.0","0.0","21.0","0.0","13.2","49.6","7.1","0.0"
"21","53.5","0.0","8.0","0.0","1.2","0.0","0.0","0.0","1.2","2.5","13.0","0.0"
"22","75.0","0.0","0.5","0.0","0.3","0.0","0.0","0.0","4.0","0.2","60.0","9.0"
"23","45.5","9.3","42.8","4.4","5.7","0.0","0.0","0.0","0.7","0.6","75.0","0.0"
"24","2.0","15.5","6.0","2.0","4.0","0.0","0.0","0.0","0.0","0.1","29.9","0.0"
"25","0.0","4.5","19.6","0.7","T","1.7","0.0","0.0","8.1","0.0","7.8","T"
"26","0.0","29.0","0.0","0.3","0.1","0.0","0.0","3.0","2.3","0.0","11.0","0.0"
"27","0.0","70.6","2.0","40.0","6.0","0.0","0.0","29.3","215.0","0.0","9.2","26.4"
"28","6.0","0.2","0.0","12.5","3.8","0.0","0.0","4.0","4.5","0.0","0.0","3.1"
"29","20.2","0.0","0.0","0.0","0.0","3.7","0.0","0.0","0.0","25.6","1.5","0.5"
"30","24.0","--","0.0","0.1","0.0","2.2","0.0","0.0","0.0","0.5","3.9","T"
"31","21.5","--","0.3","--","0.0","--","0.0","0.0","--","0.6","--","0.2"
"總和","441.2","422.2","317.1","192.9","176.2","255.0","125.3","112.3","531.7","814.9","313.0","139.6"
