
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","81","65","86","78","79","84","86","64","70","70","79","86"
"02","73","70","78","92","82","79","84","77","68","77","77","79"
"03","71","83","82","94","79","73","75","92","80","74","72","86"
"04","77","88","94","86","85","66","74","77","80","73","65","93"
"05","74","74","84","71","86","71","70","74","70","83","81","92"
"06","80","80","80","82","84","70","71","64","59","71","92","98"
"07","76","81","83","93","91","87","76","62","62","68","83","100"
"08","74","67","89","83","75","90","78","68","64","69","97","98"
"09","66","68","85","81","73","86","76","67","72","71","71","99"
"10","73","63","83","70","83","74","76","73","76","81","74","100"
"11","81","72","66","83","94","80","71","79","74","96","69","99"
"12","79","79","85","76","91","71","67","71","88","98","87","94"
"13","79","84","96","57","75","72","64","71","94","97","94","89"
"14","82","87","76","59","68","75","67","68","86","82","82","96"
"15","87","85","60","61","71","69","77","67","83","84","83","96"
"16","87","82","54","64","85","64","68","67","79","89","82","97"
"17","84","57","60","70","70","66","66","69","75","82","79","97"
"18","77","55","87","78","82","63","74","71","82","91","75","97"
"19","88","64","91","82","91","66","73","66","81","91","81","94"
"20","72","84","85","90","90","69","72","65","86","94","89","92"
"21","67","72","84","95","93","69","70","71","72","99","93","95"
"22","76","86","79","100","98","63","68","86","65","99","89","98"
"23","80","75","87","92","97","66","70","77","69","74","92","97"
"24","87","70","87","92","85","72","70","66","92","64","84","90"
"25","90","80","85","90","90","74","82","63","85","70","83","84"
"26","91","81","77","91","80","78","82","66","82","71","75","92"
"27","79","83","83","83","92","73","76","87","97","73","87","93"
"28","76","82","88","70","98","71","72","79","98","80","89","84"
"29","64","80","77","63","91","73","67","86","82","81","95","85"
"30","57","--","85","70","83","78","73","81","85","66","89","78"
"31","63","--","87","--","78","--","66","81","--","64","--","67"
"平均","77","76","81","80","84","73","73","73","79","80","83","92"
