
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","4.3 / 30","2.2 / 60","2.1 / 230","3.0 / 70","2.5 / 20","3.9 / 30","2.0 / 40","9.9 / 10","1.9 / 80","2.5 / 40","4.1 / 30","3.4 / 40"
"02","2.3 / 50","6.5 / 30","2.2 / 10","2.1 / 200","3.8 / 230","3.6 / 10","3.1 / 30","6.6 / 230","1.7 / 120","3.1 / 40","1.6 / 60","4.6 / 10"
"03","3.6 / 70","3.9 / 40","1.2 / 30","4.7 / 70","2.2 / 60","6.3 / 30","2.2 / 20","2.9 / 20","2.0 / 30","2.2 / 40","2.5 / 140","5.1 / 10"
"04","6.8 / 10","1.8 / 60","1.6 / 60","2.6 / 140","1.9 / 50","4.9 / 10","2.6 / 170","1.6 / 40","1.9 / 100","3.0 / 40","3.7 / 40","3.9 / 60"
"05","3.0 / 30","2.1 / 230","1.8 / 240","1.6 / 210","1.7 / 30","3.0 / 10","2.0 / 360","2.3 / 360","2.9 / 140","2.0 / 70","3.8 / 60","3.6 / 350"
"06","3.1 / 30","1.9 / 220","1.5 / 30","1.9 / 60","1.8 / 50","3.2 / 30","1.9 / 20","5.9 / 230","2.1 / 50","3.9 / 30","4.2 / 60","4.4 / 60"
"07","5.2 / 30","7.9 / 10","1.4 / 340","2.3 / 120","2.1 / 210","2.0 / 220","1.9 / 40","6.2 / 250","1.5 / 140","4.7 / 40","3.0 / 60","1.9 / 60"
"08","4.9 / 10","6.1 / 30","1.4 / 50","2.3 / 150","2.0 / 220","1.9 / 230","3.1 / 210","2.9 / 30","2.0 / 130","4.2 / 30","1.9 / 200","4.9 / 30"
"09","4.0 / 30","2.1 / 60","5.0 / 10","1.5 / 10","2.9 / 40","2.2 / 220","2.8 / 220","1.7 / 230","1.7 / 220","5.3 / 10","1.8 / 50","5.8 / 50"
"10","3.7 / 30","3.9 / 10","4.5 / 10","2.1 / 200","3.2 / 30","2.2 / 230","2.4 / 220","1.8 / 40","2.5 / 210","6.3 / 10","2.3 / 220","4.0 / 60"
"11","5.1 / 30","3.6 / 30","4.5 / 30","2.4 / 40","1.9 / 50","5.2 / 240","2.4 / 20","2.1 / 220","2.6 / 40","6.4 / 30","3.4 / 10","4.0 / 30"
"12","3.2 / 60","2.4 / 230","4.6 / 60","1.7 / 40","1.6 / 100","1.9 / 220","2.7 / 30","3.2 / 230","1.8 / 20","5.5 / 10","2.1 / 70","4.1 / 50"
"13","2.4 / 50","2.8 / 230","2.5 / 50","2.6 / 240","2.1 / 240","2.1 / 40","2.9 / 230","2.0 / 50","2.5 / 40","3.8 / 10","2.3 / 50","1.5 / 70"
"14","2.1 / 30","1.9 / 50","2.1 / 220","2.3 / 40","2.3 / 230","0.7 / 40","2.8 / 220","2.9 / 60","5.9 / 10","3.5 / 10","3.1 / 60","1.8 / 30"
"15","1.9 / 230","3.2 / 20","2.1 / 210","2.0 / 220","2.8 / 40","1.6 / 40","2.6 / 220","2.7 / 60","9.5 / 10","3.3 / 10","2.2 / 60","2.3 / 230"
"16","4.0 / 10","5.9 / 10","1.9 / 50","2.8 / 20","2.1 / 30","2.2 / 20","2.7 / 230","3.3 / 130","3.0 / 340","3.4 / 10","2.9 / 180","1.6 / 330"
"17","2.7 / 70","6.4 / 20","2.1 / 220","2.3 / 60","1.7 / 30","3.1 / 140","2.8 / 230","1.8 / 40","2.6 / 30","5.7 / 10","4.0 / 30","3.4 / 30"
"18","1.2 / 200","6.4 / 30","2.3 / 40","1.7 / 360","2.5 / 40","1.7 / 40","2.5 / 240","2.2 / 30","1.5 / 60","4.8 / 20","2.9 / 30","7.0 / 10"
"19","3.6 / 50","4.9 / 40","2.4 / 30","1.4 / 40","1.2 / 220","1.8 / 30","2.7 / 30","2.1 / 80","1.1 / 60","2.7 / 70","1.6 / 60","3.6 / 70"
"20","3.3 / 50","1.8 / 80","2.2 / 10","2.3 / 30","3.1 / 30","2.5 / 30","3.1 / 120","2.1 / 130","2.3 / 60","2.0 / 110","1.9 / 30","2.3 / 110"
