
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","11.8","11.6","0.0","0.0","0.0","3.8","0.0","16.5","0.0","0.0","0.3","23.1"
"02","1.0","23.7","8.3","0.0","7.3","6.8","0.0","24.0","0.0","0.0","1.9","22.9"
"03","13.4","24.0","21.3","1.0","3.3","11.5","0.0","2.7","0.0","0.0","0.0","13.7"
"04","20.2","14.8","9.7","0.0","14.0","12.9","0.0","0.5","0.0","0.0","0.2","1.8"
"05","22.6","0.3","2.1","17.4","0.0","5.9","0.0","1.7","2.2","6.8","0.0","19.7"
"06","24.0","0.0","5.8","6.7","0.0","0.0","0.0","3.6","0.0","0.3","0.0","1.8"
"07","24.0","22.5","23.7","2.0","0.0","0.0","0.3","2.5","0.0","0.7","0.0","3.5"
"08","24.0","23.2","20.5","0.8","0.0","0.3","0.0","1.2","0.0","0.0","0.0","16.7"
"09","22.3","13.9","24.0","14.2","5.3","0.8","0.0","3.0","0.0","0.2","0.0","20.2"
"10","5.3","8.4","20.2","0.9","17.2","3.1","0.0","0.0","0.0","0.0","2.9","7.8"
"11","2.5","24.0","7.0","2.8","8.7","2.5","0.0","0.5","0.0","0.8","19.4","24.0"
"12","14.3","5.3","18.7","0.3","1.3","22.0","0.0","0.5","0.0","0.0","6.1","22.6"
"13","18.5","0.0","24.0","0.0","0.0","2.8","0.0","0.0","0.0","0.0","0.0","15.3"
"14","8.6","0.6","20.7","14.1","0.0","16.3","0.4","0.0","2.7","0.0","0.0","0.0"
"15","17.2","19.7","0.0","3.7","0.0","11.5","1.6","6.3","3.5","0.0","1.2","0.0"
"16","18.6","24.0","0.0","16.2","3.2","3.7","0.0","0.8","3.0","0.0","0.0","0.0"
"17","0.0","24.0","0.0","5.0","7.0","0.0","0.0","1.4","0.0","3.3","13.6","12.9"
"18","0.0","21.3","5.9","8.6","0.5","0.0","0.0","0.0","0.0","0.0","8.0","24.0"
"19","2.0","14.2","17.5","2.2","10.1","11.7","0.0","0.0","12.1","0.0","0.0","18.8"
"20","10.7","2.5","22.3","4.8","11.5","17.7","0.2","0.0","14.2","0.0","0.0","5.5"
"21","21.0","0.0","13.1","2.5","0.0","14.6","0.3","0.0","3.2","0.0","8.1","0.0"
"22","24.0","0.0","0.0","6.4","0.0","8.2","1.6","2.1","0.0","0.0","13.0","21.0"
"23","23.8","21.5","7.8","0.3","0.0","1.1","2.6","4.7","4.1","10.1","20.2","18.6"
"24","24.0","22.0","4.7","1.9","0.0","0.5","0.4","1.7","7.9","0.0","24.0","0.0"
"25","22.2","24.0","0.0","4.9","2.1","2.0","1.3","3.7","0.0","0.0","4.2","0.0"
"26","14.5","24.0","0.0","15.7","0.0","0.0","9.6","1.6","2.4","1.5","16.7","13.1"
"27","0.0","24.0","0.0","13.0","21.0","0.0","1.2","0.5","4.1","0.5","21.4","1.6"
"28","0.0","15.4","0.0","10.8","23.5","2.3","1.1","11.5","9.5","17.0","12.8","4.7"
"29","13.0","13.1","0.0","1.9","9.6","0.0","3.7","0.5","2.4","2.8","18.1","5.9"
"30","12.0","--","0.0","2.0","2.3","0.0","4.0","0.9","0.0","10.3","20.3","14.5"
"31","18.5","--","5.0","--","6.5","--","12.0","1.9","--","20.2","--","0.0"
"總和","434.0","422.0","282.3","160.1","154.4","162.0","40.3","94.3","71.3","74.5","212.4","333.7"
