
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","71","80","81","70","68","69","71","69","74","61","82","87"
"02","82","76","66","61","73","87","67","72","76","69","84","90"
"03","86","78","68","56","83","88","71","73","82","75","79","88"
"04","79","85","84","58","79","87","70","71","78","71","73","71"
"05","86","84","87","68","79","83","66","63","74","71","76","66"
"06","85","67","83","75","84","77","67","62","65","78","75","82"
"07","86","67","71","78","76","75","69","65","68","74","74","96"
"08","87","83","84","79","77","82","72","64","72","78","84","64"
"09","72","73","82","81","76","79","70","58","73","70","79","82"
"10","68","61","91","75","74","75","71","59","71","73","74","82"
"11","78","59","90","82","75","78","70","68","65","75","85","61"
"12","90","62","80","78","75","77","70","70","70","76","89","84"
"13","92","64","91","72","84","80","65","72","71","77","88","86"
"14","80","59","77","84","79","83","62","73","69","81","88","82"
"15","81","63","67","84","79","86","60","68","56","81","79","79"
"16","80","74","87","80","84","86","56","68","62","78","80","85"
"17","78","71","91","77","78","85","58","69","63","83","80","70"
"18","87","77","93","77","70","85","67","67","63","82","83","81"
"19","89","67","93","84","73","78","61","69","61","78","79","78"
"20","80","81","87","76","74","74","60","66","67","80","87","56"
"21","70","84","84","80","83","78","63","75","71","74","87","53"
"22","62","84","79","73","82","74","61","69","71","66","86","57"
"23","64","92","83","59","76","73","60","66","63","68","73","60"
"24","78","89","74","73","78","71","67","66","66","72","68","67"
"25","83","92","87","76","78","64","67","64","67","67","87","53"
"26","72","82","73","81","69","69","69","64","66","65","82","58"
"27","85","64","62","77","74","72","67","62","63","63","83","58"
"28","83","84","60","55","83","75","73","67","71","71","77","65"
"29","80","--","75","60","82","75","76","73","74","66","78","76"
"30","89","--","79","67","79","72","65","73","67","66","89","76"
"31","83","--","84","--","72","--","67","73","--","68","--","75"
"平均","80","75","80","73","77","78","66","68","69","73","81","73"
