
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","27.5","11.5","14.3","7.5","18.0","14.8","28.8","15.3","10.0","26.3","15.0","7.3"
"02","12.8","12.8","11.3","7.0","14.8","6.3","30.0","13.8","11.0","8.0","12.8","3.3"
"03","10.0","15.3","16.3","15.8","8.3","5.9","27.5","8.3","6.7","12.5","7.0","4.5"
"04","14.3","13.5","11.8","26.3","9.0","7.8","21.3","11.3","13.0","13.5","7.8","12.3"
"05","6.3","8.5","8.8","16.3","8.3","8.0","20.0","13.0","27.5","14.8","11.8","12.8"
"06","6.9","7.3","6.8","9.0","8.3","9.0","30.0","14.8","30.0","13.0","16.3","14.3"
"07","10.5","15.5","18.0","5.5","17.0","11.0","25.0","15.3","14.3","12.0","22.5","7.5"
"08","7.3","12.8","13.3","12.5","12.5","7.8","21.3","15.0","12.5","11.8","7.5","9.8"
"09","10.5","12.0","8.8","5.0","22.5","8.0","25.0","20.8","14.0","19.0","10.5","10.3"
"10","14.3","8.5","5.5","16.3","27.5","12.3","18.8","25.0","13.5","21.3","16.3","16.8"
"11","11.0","14.5","8.0","10.3","13.0","14.8","13.5","16.0","27.5","24.5","5.0","14.3"
"12","9.3","18.0","17.5","8.0","14.3","12.0","15.5","12.3","28.8","8.5","4.3","5.5"
"13","4.5","16.0","5.4","14.3","10.8","10.8","22.5","10.5","10.5","7.0","8.3","4.5"
"14","8.0","16.3","9.5","12.3","12.3","6.4","22.3","12.0","10.0","6.3","4.0","12.0"
"15","14.3","18.5","14.5","17.3","12.5","3.6","28.8","12.0","26.3","8.0","17.8","21.3"
"16","10.3","10.0","10.5","15.0","9.5","9.3","30.0","17.3","23.8","21.3","11.5","4.3"
"17","18.0","13.8","5.3","12.5","19.3","4.5","28.8","11.0","12.3","9.0","7.0","10.5"
"18","11.3","6.0","3.4","18.8","15.5","11.0","17.8","15.5","17.0","10.0","6.0","4.0"
"19","16.8","11.3","2.6","9.3","16.0","13.8","26.3","11.8","15.5","8.3","9.5","7.3"
"20","6.0","9.3","10.5","20.0","18.0","20.0","20.5","18.8","10.3","4.5","3.0","20.0"
"21","14.3","5.5","6.0","9.0","7.8","14.3","23.8","15.5","11.0","14.3","6.8","13.5"
"22","13.8","11.8","14.8","13.0","17.5","15.0","30.0","18.0","9.5","12.0","5.8","15.0"
"23","14.0","2.6","12.0","15.0","21.8","15.8","22.5","28.8","30.0","9.3","8.5","27.5"
"24","10.5","4.8","15.8","17.5","11.3","18.5","13.5","22.5","12.8","13.0","15.0","9.3"
"25","9.5","3.8","8.5","15.0","10.3","22.5","12.8","30.0","21.3","20.0","5.8","7.3"
"26","15.3","10.0","6.8","12.0","17.5","19.0","13.5","20.0","16.0","20.0","14.5","15.0"
"27","17.0","10.3","17.5","13.5","14.8","17.8","20.5","27.5","14.0","18.8","12.0","16.5"
"28","22.5","11.8","12.0","21.3","10.3","11.3","18.8","27.5","12.0","11.5","20.0","15.0"
"29","9.8","--","9.0","28.8","11.8","10.3","11.5","20.0","11.0","13.5","24.3","10.5"
"30","3.3","--","10.5","19.0","14.0","13.0","16.3","16.5","19.0","13.5","4.0","5.5"
"31","15.0","--","6.5","--","15.0","--","25.0","14.3","--","14.0","--","4.0"
"平均","12.1","11.1","10.4","14.1","14.2","11.8","22.0","17.1","16.4","13.5","10.7","11.0"
