
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","5.7","5.0","6.5","0.0","0.0","5.5","0.0","10.9","0.0","14.5","24.0"
"02","0.0","0.0","0.0","0.0","5.3","21.2","0.0","0.0","19.2","0.0","8.5","22.8"
"03","18.2","0.0","0.0","0.0","4.3","14.5","1.7","0.0","22.8","6.3","17.8","19.5"
"04","5.6","0.0","3.4","0.0","0.0","13.9","0.7","0.0","2.0","7.7","17.2","0.0"
"05","0.0","0.5","0.0","0.0","0.3","3.5","0.0","0.0","0.0","4.0","16.4","7.5"
"06","6.1","0.0","14.3","2.6","9.5","0.0","0.0","0.0","0.0","15.9","3.5","17.2"
"07","3.0","0.0","13.0","0.8","1.0","0.0","3.0","0.0","0.0","5.8","4.5","23.3"
"08","14.8","2.8","10.2","0.0","0.5","0.0","1.5","0.0","0.3","13.7","13.5","10.0"
"09","1.2","6.5","12.5","0.0","0.8","0.0","0.0","0.0","0.0","5.6","19.8","8.4"
"10","0.0","0.0","24.0","0.0","0.0","2.0","0.0","0.0","0.0","10.3","3.3","3.4"
"11","8.0","0.0","8.5","9.2","0.0","6.7","0.0","1.9","0.0","9.7","24.0","0.0"
"12","10.6","0.0","0.0","15.5","2.3","6.7","0.0","0.0","1.5","11.8","24.0","21.2"
"13","24.0","0.0","17.5","4.7","8.3","8.5","0.0","0.0","6.8","13.4","21.5","24.0"
"14","19.0","0.0","11.2","2.5","0.0","19.5","0.0","0.0","5.1","23.7","18.0","12.7"
"15","17.3","0.0","0.0","0.0","8.0","23.6","0.0","0.0","0.0","22.0","6.8","4.5"
"16","13.5","0.0","17.6","0.0","23.0","23.2","0.0","0.0","0.0","4.2","3.5","17.2"
"17","0.0","0.0","18.5","0.0","8.5","24.0","0.0","0.0","0.0","9.0","0.0","17.0"
"18","0.5","3.0","11.5","1.0","1.0","14.8","0.0","0.0","0.0","11.2","17.5","24.0"
"19","7.3","0.0","23.5","5.1","11.9","6.3","0.0","0.0","0.0","8.5","22.3","24.0"
"20","16.2","6.0","0.0","1.2","7.3","0.0","0.0","0.0","0.0","12.8","24.0","3.5"
"21","0.0","19.5","12.0","6.8","9.9","3.3","0.0","2.2","0.0","2.5","12.7","0.0"
"22","0.0","8.3","2.0","15.8","0.0","0.0","0.0","3.6","0.0","0.0","16.7","0.0"
"23","0.0","23.5","7.5","0.5","0.0","0.0","0.0","0.0","0.0","0.0","16.7","0.0"
"24","17.9","24.0","0.0","3.7","8.5","0.0","0.0","0.0","0.0","0.2","6.4","0.0"
"25","17.5","24.0","21.5","1.0","7.4","0.0","0.0","0.0","0.0","0.0","21.8","0.0"
"26","3.5","11.7","7.5","7.7","0.0","0.0","0.0","0.0","0.0","0.0","8.0","0.0"
"27","7.9","0.0","0.0","16.7","8.2","0.0","0.0","0.0","0.0","0.5","17.5","0.0"
"28","4.5","7.8","0.0","0.0","9.8","1.5","1.0","0.0","2.3","1.0","0.0","0.5"
"29","0.0","--","0.0","0.0","12.0","1.5","13.4","0.0","9.0","0.0","0.0","13.5"
"30","15.3","--","0.0","0.0","5.7","0.0","14.1","0.0","0.0","1.5","22.8","22.5"
"31","20.8","--","12.5","--","2.5","--","3.2","2.3","--","12.3","--","14.3"
"總和","252.7","143.3","253.7","101.3","156.0","194.7","44.1","10.0","79.9","213.6","403.2","335.0"
