
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","12.0","14.7","8.8","9.8","9.2","10.7","16.8","14.8","11.7","11.0","14.3","11.0"
"02","14.8","11.8","6.6","6.0","11.2","13.7","16.2","19.2","17.3","5.5","5.5","15.5"
"03","17.4","2.9","5.5","10.0","9.8","15.7","13.7","17.0","15.3","18.3","12.5","9.7"
"04","16.5","7.7","4.0","11.8","11.3","7.7","11.2","15.3","14.2","19.0","13.2","14.7"
"05","12.4","5.2","3.6","13.3","6.8","14.7","23.5","12.5","15.8","21.0","17.0","14.5"
"06","10.1","7.7","9.2","11.7","9.0","6.2","19.2","14.8","15.3","14.7","20.0","8.0"
"07","7.1","11.2","5.5","4.2","7.0","10.0","19.7","11.8","6.5","17.5","7.7","12.8"
"08","11.0","6.7","5.8","7.8","14.2","13.7","20.0","3.7","18.7","10.2","6.7","9.5"
"09","14.7","11.8","11.8","9.5","7.1","16.8","10.0","11.0","23.0","7.5","6.7","13.0"
"10","15.8","14.5","6.5","5.5","7.2","13.0","4.8","11.7","23.3","15.3","10.3","14.5"
"11","13.0","13.8","5.2","8.0","16.5","14.7","12.7","12.5","21.7","13.7","8.2","14.0"
"12","10.2","10.7","7.4","9.0","9.8","16.3","13.8","12.7","20.8","13.2","13.3","9.0"
"13","14.5","12.7","14.2","13.8","16.0","14.0","7.8","13.3","13.8","14.2","7.5","9.3"
"14","14.8","11.7","5.8","15.0","8.0","13.2","8.2","15.0","12.7","21.7","10.3","7.8"
"15","14.3","13.2","5.3","16.5","9.5","17.5","11.5","18.3","13.0","20.8","16.0","4.3"
"16","13.2","8.4","2.9","12.3","14.0","14.5","8.8","19.3","12.8","13.5","14.0","7.0"
"17","7.0","6.2","1.9","7.2","9.8","16.2","11.2","16.0","13.7","12.8","7.8","13.0"
"18","13.2","8.2","8.7","7.7","12.8","18.0","17.0","10.0","16.2","9.7","8.0","16.5"
"19","9.8","12.0","9.0","11.5","15.0","17.0","10.8","15.0","15.0","9.8","11.7","11.7"
"20","11.0","14.5","5.2","12.8","8.3","13.5","16.2","21.5","17.0","15.8","11.7","15.0"
"21","8.8","13.3","2.3","9.5","12.2","13.5","17.8","18.8","14.7","8.3","14.8","7.5"
"22","6.8","5.7","7.7","15.7","8.0","16.7","14.7","14.5","12.7","8.0","15.7","15.7"
"23","9.2","3.4","4.7","13.2","7.0","14.0","14.7","9.3","8.5","6.0","13.5","11.0"
"24","13.0","8.5","6.5","9.2","8.0","15.0","21.2","17.0","7.7","7.3","13.7","7.8"
"25","11.8","7.0","4.7","13.2","13.3","16.5","16.3","14.5","18.2","11.5","12.2","4.8"
"26","10.2","3.4","10.7","14.0","12.2","15.2","13.3","14.8","14.3","14.7","16.5","8.5"
"27","5.2","3.9","11.0","7.8","8.8","16.3","16.0","8.3","11.2","7.8","16.7","4.7"
"28","8.8","3.9","16.3","8.7","17.2","14.8","16.7","10.1","4.7","8.0","15.7","9.8"
"29","9.7","--","20.5","8.0","15.7","14.0","15.2","13.3","11.3","8.2","15.2","13.8"
"30","5.7","--","15.0","7.2","15.8","19.7","14.2","17.3","12.2","7.5","15.3","7.2"
"31","6.8","--","14.0","--","9.8","--","13.5","9.5","--","11.3","--","7.7"
"平均","11.3","9.1","7.9","10.3","11.0","14.4","14.4","14.0","14.4","12.4","12.4","10.6"
