
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","61","78","84","78","75","81","59","70","86","79","79","84"
"02","60","85","85","81","75","77","70","67","83","85","87","82"
"03","65","93","82","76","75","72","77","68","80","73","86","65"
"04","77","86","89","75","77","88","80","69","78","76","84","58"
"05","84","70","94","74","85","78","74","70","71","80","79","75"
"06","81","84","92","76","82","90","67","79","71","75","75","81"
"07","85","84","92","89","83","88","63","81","81","65","81","68"
"08","64","67","92","82","77","78","65","87","71","78","86","75"
"09","62","68","76","85","80","76","81","74","62","84","90","81"
"10","60","70","78","87","87","76","83","76","61","74","80","78"
"11","60","81","90","81","72","70","63","73","68","59","82","72"
"12","68","63","89","87","70","74","70","77","68","49","91","82"
"13","73","63","84","71","65","79","76","77","68","52","88","87"
"14","78","61","85","54","76","80","73","79","81","59","90","89"
"15","67","68","85","59","76","79","71","66","88","67","83","84"
"16","69","86","91","67","75","74","68","66","87","73","81","60"
"17","61","73","89","80","79","73","71","68","72","70","84","56"
"18","66","67","78","80","70","71","67","81","69","77","78","59"
"19","59","68","77","77","68","78","75","79","67","81","80","77"
"20","67","71","84","68","84","79","79","74","69","69","85","72"
"21","81","75","90","82","77","79","74","76","76","83","81","86"
"22","72","87","68","75","89","75","73","82","80","85","79","77"
"23","69","91","80","75","90","76","75","87","77","91","87","84"
"24","67","89","80","83","89","79","72","71","82","91","77","86"
"25","67","86","85","72","85","74","70","76","74","80","76","87"
"26","82","90","83","65","84","72","69","75","74","72","59","77"
"27","87","93","86","74","82","66","68","89","76","82","58","87"
"28","84","93","73","74","66","70","67","87","94","86","71","70"
"29","87","--","71","77","72","66","71","90","75","80","74","67"
"30","86","--","71","75","69","65","73","87","72","89","78","88"
"31","83","--","71","--","80","--","72","88","--","81","--","71"
"平均","72","78","83","76","78","76","71","77","75","76","80","76"
