
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","19.5","0.0","0.0","5.5","T","T","0.0","18.0","42.5","2.0","1.0","29.0"
"02","14.0","2.5","0.0","0.0","1.5","T","0.0","4.5","4.0","0.0","T","13.5"
"03","23.5","2.5","0.0","0.0","0.5","0.0","0.0","36.5","9.0","4.5","0.0","34.0"
"04","22.0","16.5","0.0","0.0","0.0","2.0","0.0","8.5","22.5","21.0","0.0","70.0"
"05","3.0","30.0","0.0","2.5","0.0","11.5","0.0","T","1.5","67.5","0.0","T"
"06","31.0","14.0","0.0","0.0","8.0","0.0","0.0","0.0","6.5","27.0","0.5","2.5"
"07","0.0","7.5","0.0","21.5","13.0","0.0","0.0","0.0","0.5","11.5","T","0.0"
"08","0.0","13.0","0.0","0.0","35.5","0.0","0.0","0.0","1.5","21.0","0.0","0.0"
"09","16.5","1.5","T","0.0","0.0","73.0","0.0","0.0","0.0","56.0","0.0","0.0"
"10","6.5","14.0","0.0","0.0","0.0","27.0","0.0","4.5","0.0","30.5","22.5","0.0"
"11","1.5","T","0.0","0.0","0.0","1.0","T","10.0","0.0","1.5","52.0","0.0"
"12","0.0","0.0","18.5","8.5","5.0","3.5","0.0","9.0","0.0","0.0","66.5","47.0"
"13","0.0","11.0","4.0","0.5","1.0","0.0","0.0","1.0","0.0","0.0","11.5","9.0"
"14","9.0","23.5","0.0","0.0","T","3.0","0.0","0.0","1.0","T","7.5","0.0"
"15","31.5","T","0.0","4.5","0.0","2.0","0.0","0.0","1.0","0.0","4.0","0.0"
"16","11.0","T","T","0.0","0.0","9.5","0.0","8.5","0.0","0.0","9.0","19.5"
"17","19.5","T","0.0","0.0","0.0","0.5","T","T","T","0.0","T","11.5"
"18","18.5","0.0","5.5","0.0","4.5","0.0","T","4.0","0.0","0.0","0.0","--"
"19","T","14.0","3.5","18.5","17.0","0.0","0.0","T","0.0","0.0","0.0","--"
"20","8.5","T","0.0","34.5","25.0","0.0","0.0","0.5","0.0","28.5","0.0","--"
"21","16.0","T","0.0","7.0","1.0","0.0","T","0.0","0.0","9.0","T","--"
"22","0.0","48.5","0.0","0.0","24.5","0.0","0.0","2.0","2.5","0.5","0.0","--"
"23","26.5","90.0","0.0","0.0","7.5","T","0.0","1.5","2.5","0.0","0.0","--"
"24","22.0","63.0","1.0","13.5","2.5","0.5","0.0","0.0","0.0","0.0","T","--"
"25","T","0.5","30.5","1.5","0.5","0.0","8.5","0.0","0.0","T","29.5","--"
"26","0.0","T","10.0","15.0","0.0","0.0","48.0","0.0","6.5","0.0","48.0","--"
"27","0.5","0.5","12.5","0.0","0.0","0.0","22.5","0.0","0.0","1.0","0.5","--"
"28","0.0","0.0","41.5","0.0","0.0","0.0","9.0","0.0","6.5","9.5","0.0","--"
"29","0.0","--","1.5","3.5","T","T","0.0","1.0","5.0","T","T","--"
"30","0.0","--","0.5","9.5","1.5","1.5","0.0","5.5","0.5","1.0","35.5","--"
"31","0.0","--","0.5","--","34.0","--","0.5","17.5","--","11.5","--","--"
"總和","300.5","352.5","129.5","146.0","182.5","135.0","88.5","132.5","113.5","303.5","288.0","236.0"
