
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","11.3","0.0","0.0","9.1","0.6","0.6","0.0","2.8","5.4","0.5","0.9","21.5"
"02","15.1","16.5","0.0","0.0","1.0","0.4","0.0","2.2","0.8","0.0","0.2","17.8"
"03","23.0","18.7","0.0","0.0","0.2","0.0","0.0","15.3","6.4","2.2","0.0","22.6"
"04","20.7","22.2","0.0","0.0","0.0","2.9","0.0","3.0","12.0","5.5","0.0","21.2"
"05","4.3","18.0","0.0","1.3","0.0","2.6","0.0","0.4","0.5","13.4","0.0","2.5"
"06","13.1","9.7","0.0","0.0","1.5","0.0","0.0","0.0","5.8","6.4","3.1","9.5"
"07","0.0","11.0","0.0","10.6","11.1","0.0","0.0","0.0","2.2","4.6","0.2","0.0"
"08","0.0","20.2","0.0","0.0","14.9","0.0","0.0","0.0","2.7","7.9","0.0","0.0"
"09","5.9","3.5","0.3","0.0","0.0","4.5","0.0","0.0","0.0","18.5","0.0","0.0"
"10","7.9","12.0","0.0","0.0","0.0","2.7","0.0","2.4","0.0","12.6","9.3","0.0"
"11","4.7","0.4","0.0","0.0","0.0","3.2","0.2","6.1","0.0","1.9","22.5","0.0"
"12","0.0","0.0","1.1","5.0","2.6","2.8","0.0","0.5","0.0","0.0","19.7","22.8"
"13","0.0","9.4","1.9","0.6","1.9","0.0","0.0","0.6","0.0","0.0","15.4","10.3"
"14","1.5","22.6","0.0","0.0","0.5","2.1","0.0","0.0","0.3","1.5","11.1","0.0"
"15","23.1","0.9","0.0","5.1","0.0","3.9","0.0","0.0","0.8","0.0","6.9","0.0"
"16","22.3","0.3","0.3","0.0","0.0","8.2","0.0","4.8","0.0","0.0","8.4","17.0"
"17","20.9","0.1","0.0","0.0","0.0","4.2","0.2","0.8","0.1","0.0","0.2","19.0"
"18","20.0","0.0","8.4","0.0","0.7","0.0","0.2","1.9","0.0","0.0","0.0","--"
"19","2.0","11.5","0.9","8.0","8.7","0.0","0.0","0.1","0.0","0.0","0.0","--"
"20","18.4","1.0","0.0","9.5","6.8","0.0","0.0","2.4","0.0","7.8","0.0","--"
"21","13.8","6.6","0.0","4.9","0.4","0.0","0.1","0.0","0.0","10.9","0.2","--"
"22","0.0","22.3","0.0","0.0","3.8","0.0","0.0","1.7","1.0","1.8","0.0","--"
"23","19.6","23.4","0.0","0.0","1.8","1.8","0.0","1.6","0.6","0.0","0.0","--"
"24","12.2","22.2","3.7","14.1","1.3","0.8","0.0","0.0","0.0","0.0","0.2","--"
"25","10.5","14.5","10.4","9.4","1.4","0.0","1.9","0.0","0.0","0.1","16.5","--"
"26","0.0","0.2","4.8","10.4","0.0","0.0","7.7","0.0","0.6","0.0","11.6","--"
"27","5.6","0.4","12.3","0.0","0.0","0.0","6.5","0.0","0.0","2.7","1.0","--"
"28","0.0","0.0","14.9","0.0","0.0","0.0","3.2","0.0","1.2","8.7","0.0","--"
"29","0.0","--","1.1","3.8","0.5","0.3","0.0","1.1","1.5","1.5","0.5","--"
"30","0.0","--","4.7","13.4","1.0","2.6","0.0","3.5","0.1","1.7","16.2","--"
"31","0.0","--","0.5","--","3.3","--","2.4","3.7","--","6.8","--","--"
"總和","275.9","267.6","65.3","105.2","64.0","43.6","22.4","54.9","42.0","117.0","144.1","164.2"
